'CyclicBell.General.Coverage.kernelInner' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelInner_add_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelInner_smul_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelInner_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelInner_single' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.PositiveKernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.KernelSpan' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpanAddCommGroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpanModule' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpanCore' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpanSeminorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpanNormedSpace' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpanInnerProduct' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpan_norm_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelSpan_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.KernelHilbert' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelEmbed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelEmbed_dense' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelEmbed_inner' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelVector' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelVector_inner' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelCombination_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.kernelVector_dense_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.Coverage.positiveKernel_realization' depends on axioms: [propext, Classical.choice, Quot.sound]
