'CyclicBell.D4.witness_fourier_weights' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.witness_fourier_compression' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.witness_source_fourier_compression' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.witness_source_D_compression' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.witness_compressed_correlator' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.witness_source_compressed_correlator' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_witness_operator_collection' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_reduced_attainment_complex' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_reduced_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.aligned_witness_expectation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_aligned_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_bob_fourier' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_reduced_attainment_complex' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_reduced_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_aligned_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.phi_unitary_invariance' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_witness_residual_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.weighted' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.entryConj' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.entryConj_involutive' depends on axioms: [propext, Classical.choice, Quot.sound]
