# GAP 4.16.0; TransGrp 3.6.5
degree	index	id	order	stabilizer_order	regular	gap_name	structure_description
2	1	2T1	2	1	true	S2	C2
3	1	3T1	3	1	true	A3	C3
3	2	3T2	6	2	false	S3	S3
4	1	4T1	4	1	true	C(4) = 4	C4
4	2	4T2	4	1	true	E(4) = 2[x]2	C2 x C2
4	3	4T3	8	2	false	D(4)	D8
4	4	4T4	12	3	false	A4	A4
4	5	4T5	24	6	false	S4	S4
5	1	5T1	5	1	true	C(5) = 5	C5
5	2	5T2	10	2	false	D(5) = 5:2	D10
5	3	5T3	20	4	false	F(5) = 5:4	C5 : C4
5	4	5T4	60	12	false	A5	A5
5	5	5T5	120	24	false	S5	S5
6	1	6T1	6	1	true	C(6) = 6 = 3[x]2	C6
6	2	6T2	6	1	true	D_6(6) = [3]2	S3
6	3	6T3	12	2	false	D(6) = S(3)[x]2	D12
6	4	6T4	12	2	false	A_4(6) = [2^2]3	A4
6	5	6T5	18	3	false	F_18(6) = [3^2]2 = 3 wr 2	C3 x S3
6	6	6T6	24	4	false	2A_4(6) = [2^3]3 = 2 wr 3	C2 x A4
6	7	6T7	24	4	false	S_4(6d) = [2^2]S(3)	S4
6	8	6T8	24	4	false	S_4(6c) = 1/2[2^3]S(3)	S4
6	9	6T9	36	6	false	F_18(6):2 = [1/2.S(3)^2]2	S3 x S3
6	10	6T10	36	6	false	F_36(6) = 1/2[S(3)^2]2	(C3 x C3) : C4
6	11	6T11	48	8	false	2S_4(6) = [2^3]S(3) = 2 wr S(3)	C2 x S4
6	12	6T12	60	10	false	L(6) = PSL(2,5) = A_5(6)	A5
6	13	6T13	72	12	false	F_36(6):2 = [S(3)^2]2 = S(3) wr 2	(S3 x S3) : C2
6	14	6T14	120	20	false	L(6):2 = PGL(2,5) = S_5(6)	S5
6	15	6T15	360	60	false	A6	A6
6	16	6T16	720	120	false	S6	S6
7	1	7T1	7	1	true	C(7) = 7	C7
7	2	7T2	14	2	false	D(7) = 7:2	D14
7	3	7T3	21	3	false	F_21(7) = 7:3	C7 : C3
7	4	7T4	42	6	false	F_42(7) = 7:6	C7 : C6
7	5	7T5	168	24	false	L(7) = L(3,2)	PSL(3,2)
7	6	7T6	2520	360	false	A7	A7
7	7	7T7	5040	720	false	S7	S7
8	1	8T1	8	1	true	C(8)=8	C8
8	2	8T2	8	1	true	4[x]2	C4 x C2
8	3	8T3	8	1	true	E(8)=2[x]2[x]2	C2 x C2 x C2
8	4	8T4	8	1	true	D_8(8)=[4]2	D8
8	5	8T5	8	1	true	Q_8(8)	Q8
8	6	8T6	16	2	false	D(8)	D16
8	7	8T7	16	2	false	1/2[2^3]4	C8 : C2
8	8	8T8	16	2	false	2D_8(8)=[D(4)]2	QD16
8	9	8T9	16	2	false	E(8):2=D(4)[x]2	C2 x D8
8	10	8T10	16	2	false	[2^2]4	(C4 x C2) : C2
8	11	8T11	16	2	false	1/2[2^3]E(4)=Q_8:2	(C4 x C2) : C2
8	12	8T12	24	3	false	2A_4(8)=[2]A(4)=SL(2,3)	SL(2,3)
8	13	8T13	24	3	false	E(8):3=A(4)[x]2	C2 x A4
8	14	8T14	24	3	false	S(4)[1/2]2=1/2(S_4[x]2)	S4
8	15	8T15	32	4	false	[1/4.cD(4)^2]2	C8 : (C2 x C2)
8	16	8T16	32	4	false	1/2[2^4]4	(C8 : C2) : C2
