Command:
/Users/alec/Documents/Math/.venv/bin/python scripts/search_gaussian_functional_d6.py

Run date: 2026-07-28
Seed: N/A
Arithmetic: exact SymPy arithmetic in Q(i*sqrt(3))

Exact cyclic Gaussian-functional search at d=6
ansatz: H=f(U), U^6=1, three +1 and three -1 spectral values
twisted relation: u v = exp(i*pi/3) v u
cases exhausted: 20
survivors: 0

positive spectral indices | nonzero residual coefficients | first
(0, 1, 2) | 14 | ((0, 1), 2/9 - 2*sqrt(3)*I/9)
(0, 1, 3) | 22 | ((0, 3), -2/9)
(0, 1, 4) | 22 | ((0, 3), 2/9)
(0, 1, 5) | 14 | ((0, 1), 4/9)
(0, 2, 3) | 22 | ((0, 3), 2/9)
(0, 2, 4) | 2 | ((0, 3), -2/3)
(0, 2, 5) | 22 | ((0, 3), 2/9)
(0, 3, 4) | 22 | ((0, 3), 2/9)
(0, 3, 5) | 22 | ((0, 3), -2/9)
(0, 4, 5) | 14 | ((0, 1), 2/9 + 2*sqrt(3)*I/9)
(1, 2, 3) | 14 | ((0, 1), -2/9 - 2*sqrt(3)*I/9)
(1, 2, 4) | 22 | ((0, 3), 2/9)
(1, 2, 5) | 22 | ((0, 3), -2/9)
(1, 3, 4) | 22 | ((0, 3), -2/9)
(1, 3, 5) | 2 | ((0, 3), 2/3)
(1, 4, 5) | 22 | ((0, 3), -2/9)
(2, 3, 4) | 14 | ((0, 1), -4/9)
(2, 3, 5) | 22 | ((0, 3), -2/9)
(2, 4, 5) | 22 | ((0, 3), 2/9)
(3, 4, 5) | 14 | ((0, 1), -2/9 + 2*sqrt(3)*I/9)

[proved within ansatz] no trace-zero Gaussian functional H solves
the exceptional cubic relation in local dimension six
