variables=9802
source_clauses=84614 core_clauses=18143

category                                       core    total   percent
alpha_no_H_K4                                    10      715     1.40%
gamma_pair_common_neighbor_choice                59       78    75.64%
gamma_witness_first_H_edge                      536      858    62.47%
gamma_witness_second_H_edge                     521      858    60.72%
family_state_dominates_G                        422     2860    14.76%
family_nonempty                                   0        1     0.00%
closure_move_uses_G_edge                       5687     8580    66.28%
closure_successor_in_family                    6793     8580    79.17%
closure_reply_exists                           2614     2860    91.40%
anchor_triangle_H_edges                           3        3   100.00%
anchor_state_in_family                            1        1   100.00%
theta_no_anchored_3_coloring                   1378    59049     2.33%
anchor_no_full_response                           4       10    40.00%
representative_signature_units                   12       12   100.00%
representative_exact_list_units                   6        6   100.00%
representative_H_mate_edges                       2        2   100.00%
residual_signature_sorting                       94      140    67.14%
fourth_residual_nonzero_signature                 1        1   100.00%
