seed_id,pair_index,first_vertex,second_vertex,toggle_action,raw_graph6,canonical_graph6,category
ET-0001,0,0,1,add,J`]TM^aVjj?,JJqk}QdTxv?,gamma_below_eternal
ET-0001,1,0,2,add,JP]TM^aVjj?,JBbLRNZnR{?,gamma_below_eternal
ET-0001,2,0,3,add,JD]TM^aVjj?,JB`\ZQ|uvM?,gamma_below_eternal
ET-0001,3,0,4,add,J@}TM^aVjj?,J@qQz^dmnw?,gamma_below_eternal
ET-0001,4,0,5,delete,J@[TM^aVjj?,JJOd[iZZY}?,gamma_below_eternal
ET-0001,5,0,6,delete,J@]PM^aVjj?,JJCd[zDVjV?,gamma_below_eternal
ET-0001,6,0,7,delete,J@]TI^aVjj?,JIXTKqNNrf?,gamma_below_eternal
ET-0001,7,0,8,delete,J@]TM\aVjj?,JJOmTMRVX|?,gamma_below_eternal
ET-0001,8,0,9,add,J@]TM^avjj?,JcohzHZl^m?,gamma_below_eternal
ET-0001,9,0,10,add,J@]TM^aVnj?,J_w|ahjd~m?,gamma_below_eternal
ET-0001,10,1,2,add,JH]TM^aVjj?,JKemYcv]Zy?,gamma_below_eternal
ET-0001,11,1,3,add,JB]TM^aVjj?,JKu|IkyQzb_,gamma_below_eternal
ET-0001,12,1,4,delete,J@MTM^aVjj?,J@LQ[zJlnM?,gamma_below_eternal
ET-0001,13,1,5,add,J@^TM^aVjj?,JJEbQy]ju^?,gamma_below_eternal
ET-0001,14,1,6,add,J@]VM^aVjj?,JJEeSw}Zu^?,gamma_below_eternal
ET-0001,15,1,7,delete,J@]TK^aVjj?,J@`ylTwe~F?,gamma_below_eternal
ET-0001,16,1,8,delete,J@]TM]aVjj?,J@lRAmujuV?,gamma_below_eternal
ET-0001,17,1,9,delete,J@]TM^aFjj?,J?M{r`jp~e?,gamma_below_eternal
ET-0001,18,1,10,delete,J@]TM^aVhj?,J@MsjDZr^U?,gamma_below_eternal
