canonical_graph6,n,m,connected,origin_count,first_seed_id,first_pair_index,first_raw_graph6,gamma_a,gamma_b,alpha_a,alpha_b,gamma_infinity_a,gamma_infinity_b,theta_a,theta_b,category,family_size,family_sha256
J?FTmYj^Ju?,11,29,1,2,ET-0005,11,J?Je\iZ^Ju?,3,3,4,4,4,4,4,4,gamma_below_eternal,208,551d534bd629ca214bd12781eef44a224dc71e751f1c32e46fe3dacad6e3aa9a
J?LT\lxrnw?,11,30,1,2,ET-0010,15,JCuv?kz^bZ?,3,3,4,4,4,4,4,4,gamma_below_eternal,260,0fc3fc54d94554b1d9a39e9beacb2f996f25db55fc28ca5244b62a798334592c
J?Ma{|uy^w?,11,30,1,1,ET-0004,19,J?qQz^dmnw?,3,3,4,4,4,4,4,4,gamma_below_eternal,266,8867f9142b6c8ef6789b317670bf08749811a4a478797fe0f3b5f771fdc3064a
J?Mj\hrvMu?,11,30,1,1,ET-0003,19,J?pi~JRnLu?,3,3,4,4,4,4,4,4,gamma_below_eternal,275,e8ff7167e0d14fea8b242f40fe58eafb0c0ca6f7282d77b79a915a026399ed3f
J?Mrkxjo~o_,11,29,1,1,ET-0006,25,JAMeK~sQz{?,3,3,4,4,4,4,4,4,gamma_below_eternal,262,185d41a2c6bc86c85e969ec69d203831945534250f76bdbb03f59a480bd7a6e6
J?MvMvgVjj?,11,30,1,2,ET-0004,15,J@qQx^dmnw?,3,3,4,4,4,4,4,4,gamma_below_eternal,283,e8c53806a71919f473228ded2b9bb9e4b9b73b6908985989d6f448b3fa4c4dc7
J?M{r`jp~e?,11,29,1,1,ET-0001,17,J@]TM^aFjj?,3,3,4,4,4,4,4,4,gamma_below_eternal,260,cda438208005c151a73bc776539c2cde8d8ed23a5836c65dea0bfd58d2f7dced
J?ND^f{Vbi_,11,30,1,1,ET-0004,4,J@oQz^dmnw?,3,3,4,4,4,4,4,4,gamma_below_eternal,274,0bb7dcd62e7c789410c554be0715cca1d2e1a05e6ccddfbcbd8ca23b928ee51c
J?NVDnkUz{?,11,30,1,3,ET-0003,13,J@oi~JRnLu?,3,3,4,4,4,4,4,4,gamma_below_eternal,283,f8ec89aa342f59a1e63cc9dff1ac8935bfc85727e475758cc1dce6727e334977
J?Ne`ljVZ{?,11,29,1,1,ET-0008,3,JBBLQs|Xz{?,3,3,4,4,4,4,4,4,gamma_below_eternal,221,c4e37577cfe503ce34c0d868a67c1b6c61db061b51ec6f2cf4f1fa2efab1b6ff
J?NefV[Lz{?,11,30,1,1,ET-0009,3,JBBLRNZnR{?,3,3,4,4,4,4,4,4,gamma_below_eternal,270,f867ca83e22fa859034659eb48feba72a7ef70f24c3fa6806a11ecddc575324d
J?S{eUf]jm?,11,28,1,1,ET-0013,34,JJOeTMRVX|?,3,3,4,4,4,4,4,4,gamma_below_eternal,238,aaccf1373c7babcc704b7338700b83cba8da4e65cc6dd1ee56fe63bd6186df44
J?TslFJNZu?,11,28,1,2,ET-0013,11,JHOmTMRVX|?,3,3,4,4,4,4,4,4,gamma_below_eternal,232,de4e27ae2e54f4eabeaaee98d243b306c8fe4bc9e05e03f8d76df11d32ae0c3a
J?\sbMumuV?,11,29,1,2,ET-0012,32,JIMEl^cRX|?,3,3,4,4,4,4,4,4,gamma_below_eternal,261,27f75469d241ed625b011296bedc28b50f33c9845541052c8c908379b64b3a59
J?cquxfjnk?,11,29,1,1,ET-0006,11,J?MeK~sYz{?,3,3,4,4,4,4,4,4,gamma_below_eternal,255,c25c3f1968ee5224f707f45fe3fe52f596466bcf0f5f27629b4fdbb3d509c02e
J?dT}XwlZN?,11,29,1,1,ET-0006,20,JAEeK~sYz{?,3,3,4,4,4,4,4,4,gamma_below_eternal,259,7a53b7d84dba08354a05a36c7d7e0a5bbb0dd71b587bbcd8f56d2f7ded5343b8
J?l|bfN}Vk?,11,32,1,3,ET-0015,52,J}iSZ|eU`x_,3,3,4,4,4,4,4,4,gamma_below_eternal,305,3b7b521dfef26afa5fbe669610e1738634f3639f2f5502520373bd174c1e7216
J?qz|pxtNE_,11,31,1,1,ET-0002,19,J?l|bfNuVK_,3,3,4,4,4,4,4,4,gamma_below_eternal,299,70db8e321e5fb7f5150943aee08ffe7844833a83921e401e882b0be2e074f5b6
J?syrMqh}j?,11,29,1,1,ET-0001,19,J?]TM^aVjj?,3,3,4,4,4,4,4,4,gamma_below_eternal,253,972ef68ec3325ea327d51752f5290669660c29b3f34856bf1482069a70007dc3
J?zTbLZNZ{?,11,30,1,1,ET-0010,2,J?uvAkz^bZ?,3,3,4,4,4,4,4,4,gamma_below_eternal,264,0193213b91d4b22843aaf4decc0d2701658bf8825cabe13b6f47a3a85f26afae
J@FLZniu^w?,11,31,1,2,ET-0011,19,JClrQ}F{nX?,3,3,4,4,4,4,4,4,gamma_below_eternal,294,e528b6ce02986ddd081b383fe23e6f6ad2bb5659f595220698a9eb3412b18cfe
J@II|Xvuvw?,11,30,1,2,ET-0010,17,JCuvAkzNbZ?,3,3,4,4,4,4,4,4,gamma_below_eternal,252,802107a4c76521e6ddc6b8d1da254ef4a6f8f1f654c2ee13bbff2cf3b9872dfb
J@LQ[zJlnM?,11,29,1,1,ET-0001,12,J@MTM^aVjj?,3,3,3,3,4,4,4,4,gamma_below_eternal,252,55fab1c2ffd1eaac1332f2af8f32e1101905cb47435ba47e020d295f83807330
J@MIzIvvVU?,11,30,1,2,ET-0010,18,JCuvAkz^`Z?,3,3,3,3,4,4,4,4,gamma_below_eternal,268,c6fef2979d128000ee92b952cb95eada752221c5a473c063411e502aa791dcfa
J@Maj]]q^c_,11,29,1,8,ET-0005,17,JAJe\iZNJu?,3,3,3,3,4,4,4,4,gamma_below_eternal,257,691711024db11ce5ab4ab8c0b0a5f3a2ec2c17b888b7299d8e92bb031a166fda
J@MdZhJvMf?,11,29,1,1,ET-0006,17,JAMeK~sIz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,263,6413dc92e1e44a85810d9677c249f93b5d5daac98fa19b3f94525f01674127a8
J@MeezmRrk_,11,30,1,1,ET-0004,8,J@qQz^dMnw?,3,3,3,3,4,4,4,4,gamma_below_eternal,274,d7296c15b5b46e96cf703b9351eab1135e608c915bc3530c3ed55041c3f6d58c
J@Mqktir^F?,11,29,1,1,ET-0006,18,JAMeK~sYx{?,3,3,3,3,4,4,4,4,gamma_below_eternal,265,aac3eddbb5279d887ff9e72651c8e223c62dafd6c5b3a7381ca1d2a349532947
J@MsYljw]s_,11,29,1,1,ET-0006,26,JAMeK~sYy{?,3,3,3,3,4,4,4,4,gamma_below_eternal,261,ff6148e503c462095707e9fc62a45ff1d8c0037f8d7de5631cf0c7988603e788
J@MsjDZr^U?,11,29,1,1,ET-0001,18,J@]TM^aVhj?,3,3,3,3,4,4,4,4,gamma_below_eternal,261,b8ae478e9e81f7007b11d1ddef83619cbac9da3d1965fc9f512f95878d7c7662
J@NVD^YRZk_,11,30,1,2,ET-0003,8,J@pi~JRNLu?,3,3,3,3,4,4,4,4,gamma_below_eternal,279,1599c57b00a33e7cf7c17a1582107e967c85cdf33a00faaffb3690757ac895b0
J@PytQVmvF?,11,29,1,1,ET-0001,32,J@]TM^aRjj?,3,3,3,3,4,4,4,4,gamma_below_eternal,264,8d34a86b7fc4c71e1d19c0ff7a6197e41f3350e05e829dcb7faa3915ebce8a4b
J@QSYyz^fM?,11,29,1,1,ET-0006,27,JAIeK~sYz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,258,aeefd50814f77201dfdb23cf48f4e8d3046dbfd31f5ab7e94dc063c96b1dcf17
J@QTJT^nVs?,11,29,1,1,ET-0006,21,JAMEK~sYz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,272,484dcecd94a14c6fa46c5fbea68b383d7e5caac426b396bb70574c8d3fcd2064
J@Th[uto~c_,11,29,1,1,ET-0001,26,J@]TM^aVij?,3,3,4,4,4,4,4,4,gamma_below_eternal,259,fa3e4fb3e45ece112907a42334530a36c21cdf79137594a3847e8b684723d95c
J@UBLh^nfU?,11,29,1,8,ET-0005,13,JAIe\iZ^Ju?,3,3,3,3,4,4,4,4,gamma_below_eternal,265,9136ab047872e33dd21b59a93b7fdbc24133fc11ccbbe42d57e809a7072b2407
J@UBlH|fvU?,11,29,1,1,ET-0006,14,JAMcK~sYz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,264,cfe9675f4d9121ac8c9c6d57158c1d205a0ad542609868dd03e202896af0f512
J@UCxzL\nM?,11,29,1,2,ET-0012,11,JGMEl^cVX|?,3,3,3,3,4,4,4,4,gamma_below_eternal,258,41314a6121cf3ed20d6c0da306ba48bffa7f3cbb63c594ebfc5f379ed05de796
J@Ukzfwp~Y_,11,32,1,1,ET-0004,37,J@qQz^lmnw?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,73fab03fe1cfd757a6fa9084600a726960ea012b4bcff5758f54f87223c803c3
J@UlKtt]eF_,11,29,1,1,ET-0006,16,JAMeK}sYz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,273,29f386773eadebfb9429e9ff99ec0012aae91487ed4eccb1d6d38246547684eb
J@VDTzuXq{_,11,30,1,1,ET-0004,7,J@qQz\dmnw?,3,3,3,3,4,4,4,4,gamma_below_eternal,286,b89f57f8d2142259ec4fb632137ef336c41297e3f858319b8f521968988eb264
J@VDlziXY{_,11,30,1,2,ET-0003,6,J@pizJRnLu?,3,3,3,3,4,4,4,4,gamma_below_eternal,286,dd2391da36bcc94de857ffc61ce9a872210c76a8ab776fd1acb449a92392e4f8
J@VJ^Fse|y_,11,32,1,1,ET-0004,43,J@qQz^dnnw?,2,2,3,3,3,3,3,3,gamma_below_eternal,48,6f08fcebbbb05fcff3985775a7f603caa212e216d25886fbafca51d984a468b8
J@X[QmumvF?,11,29,1,1,ET-0001,33,J@]TM^aVjJ?,3,3,3,3,4,4,4,4,gamma_below_eternal,267,11d8faaa79e282cc2c60c9d9de404a033d02f1785e9a3b7ce3beacb78feabc81
J@X]liyr^U_,11,32,1,2,ET-0003,36,J@pi~ZRnLu?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,31bd3dc01f81e72ba29c2a7acfa55fd73bd721cd0511d92940b939ed526414b5
J@Y]TfuVvY_,11,32,1,1,ET-0004,46,J@qQz^fmnw?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,d3bee9b87ac32f12494f67f56e93ef2c58b32875df0873735f0618632bbb2eaf
J@YmuHxdzm_,11,31,1,1,ET-0006,43,JAMeK~sZz{?,2,2,3,3,4,4,4,4,gamma_below_eternal,291,4c83e0e4e0742a631ff70d823467fdc5c9f917b304efe44c22b20c0fcd3e9b75
J@ZDZnXfnw_,11,32,1,1,ET-0004,51,J@qQz^dmny?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,e49fc0d61592e8d40251805806371cc8fdf603a512955a5714cf87cde571de1d
J@ZLUfuVty_,11,32,1,1,ET-0004,50,J@qQz^dm~w?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,8a876bea1c1c956645fbe255a53ab6c28edd34443e334efb2da347c4d284efeb
J@ZMdi}VvU_,11,32,1,2,ET-0003,42,J@pi~JVnLu?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,21331c9766e8ba747db1420fdf13e50e3e2fc2c4c5ab59bfa78777bd635ef04c
J@\RKirjuV?,11,29,1,1,ET-0006,39,JAMeK~sYzk?,3,3,3,3,4,4,4,4,gamma_below_eternal,276,a407de5e16c9a5ad71d701c31ab8db626bfb5a557aa417cd52fe8e8a5a407571
J@\TC|uze^?,11,31,1,1,ET-0006,29,JAMek~sYz{?,2,2,3,3,4,4,4,4,gamma_below_eternal,295,459d49386d97332ad0e7647feeb1c1f2a5af789a361f3a9aad128b63061a7261
J@\u^RTltt_,11,33,1,2,ET-0002,35,J@l|rfNuVK_,2,2,3,3,4,4,4,4,gamma_below_eternal,313,a1d152469ec934a266f5bd64e3c1303ac77cb75dfb55c8cb40118e8989a7d5e3
J@]RAmujuV?,11,29,1,1,ET-0006,24,JAMeK~SYz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,277,cde28b653467abb7706a78eb4d0cce32a8eca492cf908ed600a8e80c828f9ba1
J@]TM^aVjj?,11,30,1,6,ET-0004,18,J@qQz^dmlw?,3,3,3,3,4,4,4,4,gamma_below_eternal,290,3af266f6654d02dbe5fcc1378f78fc52de7b9cf66d579553130f80532e98baf4
J@]eeZeFzm?,11,30,1,3,ET-0007,8,JB`\ZQ|UvM?,3,3,4,4,4,4,4,4,gamma_below_eternal,282,a6d92636b161b4b56d8c45ae9fee8fccd33470ac8adfe3f37c9c33678316444d
J@]mTfTTjM_,11,30,1,1,ET-0004,9,J@qQz^dmjw?,3,3,3,3,4,4,4,4,gamma_below_eternal,289,45581a5247cb5cf9a1753a47a2060f006c7704b713cf581e8df5b89905d96ac8
J@]nchfu]}?,11,32,1,4,ET-0004,20,J@yQz^dmnw?,2,2,3,3,4,4,4,4,gamma_below_eternal,308,fcb78f88d0cae14c8b7b31d8951473f92ca0f742213756674dacec5fa7c88464
J@]rmfMm^Y_,11,33,1,4,ET-0002,39,J@l|bfNuV[_,2,2,3,3,3,3,3,3,gamma_below_eternal,48,8aa684f7ada550bf03990bc9aea989adb647572ac3ba4def7df65faeed91114f
J@^Kn@Zhzm_,11,31,1,1,ET-0001,48,J@]TM^aVjn?,2,2,3,3,4,4,4,4,gamma_below_eternal,291,7cc53eafc58743e2f59e3bc7e42faddeed886176e001faa62ba7b32d5147da3d
J@^deTuf]}?,11,32,1,1,ET-0007,30,JB`\Zq|uvM?,2,2,3,3,3,3,3,3,gamma_below_eternal,48,a8db219602ffbe8a74ce3032a9b232a9a04df8250ed7222fa39bedeb4e390986
J@`ylTwe~F?,11,29,1,1,ET-0001,15,J@]TK^aVjj?,3,3,3,3,4,4,4,4,gamma_below_eternal,260,034431d25402000ee32f8c8b9238018d51127296aa0b426c84c8831f140f857e
J@di|ze{vp?,11,32,1,1,ET-0004,2,JDqQz^dmnw?,2,2,3,3,3,3,3,3,gamma_below_eternal,48,7407f88467b58b13a462a43cb666cdd9384df624d1e83f478b1ec8ec1be13a73
J@dla~F}N{?,11,32,1,1,ET-0004,31,J@qQz^tmnw?,2,2,3,3,3,3,3,3,gamma_below_eternal,48,3182d07fcc71cb446d01e0e71e01219c271a2f9a5c40d016658a908922b82c53
J@eaJe^^fU?,11,29,1,1,ET-0006,38,JAMeK~sWz{?,3,3,3,3,4,4,4,4,gamma_below_eternal,268,5d72f35273f382a4518c05e445e5e714db4d4ce7e48d926791df283007a25704
J@ejvNoV]\_,11,32,1,1,ET-0004,34,J@qYz^dmnw?,2,2,3,3,4,4,4,4,gamma_below_eternal,305,3d0dd200e264c74aa65ecf38ad174419899f005ac41420a373e730a110be3267
J@eozDxp~U?,11,29,1,2,ET-0012,17,JIMEl^cFX|?,3,3,4,4,4,4,4,4,gamma_below_eternal,257,74e97c328a226c2a8cd42b23ccf11ca33b5b4fb79ccb34f26ca75786b971b3d2
