canonical_graph6,n,m,origin_count,first_host_id,first_neighborhood_mask,first_raw_graph6,gamma,alpha,category,private_obstruction_json,eternal_a,eternal_b,family_a_size,family_b_size,family_a_sha256,family_b_sha256
J?MvMvgVjj?,11,30,8,MMV-001,71,JEhbtj{rvC?,3,4,alpha_above_3,,,,,,,
J?NVDnkUz{?,11,30,8,MMV-001,77,JEhbtj{rtc?,3,4,alpha_above_3,,,,,,,
J?Ne`ljVZ{?,11,29,6,MMV-002,3,JEhbtn{ru??,3,4,alpha_above_3,,,,,,,
J?Ne`ljV^{?,11,30,6,MMV-002,259,JEhbtn{ru@?,2,4,gamma_below_3,,,,,,,
J?NefV[Lz{?,11,30,4,MMV-001,30,JEhbtj{rro?,3,4,alpha_above_3,,,,,,,
J?SulrkZrf?,11,29,4,MMV-001,7,JEhbtj{rv??,3,4,alpha_above_3,,,,,,,
J?SulrkZvf?,11,30,4,MMV-001,263,JEhbtj{rv@?,2,4,gamma_below_3,,,,,,,
J?S}lprzN]?,11,31,6,MMV-002,71,JEhbtn{rvC?,2,4,gamma_below_3,,,,,,,
J?S}lrkzvf?,11,32,6,MMV-002,327,JEhbtn{rvD?,2,4,gamma_below_3,,,,,,,
J?Xdmg|unu?,11,30,8,MMV-001,325,JEhbtj{rtD?,2,4,gamma_below_3,,,,,,,
J?ZTas|^fN?,11,30,6,MMV-002,70,JEhbtn{rrC?,2,4,gamma_below_3,,,,,,,
J?ltjrk{}}?,11,33,6,MMV-002,365,JEhbtn{rtl?,2,4,gamma_below_3,,,,,,,
J?ludlyr^{?,11,32,10,MMV-001,455,JEhbtj{rvF?,2,4,gamma_below_3,,,,,,,
J?lueYv]~{?,11,33,6,MMV-002,455,JEhbtn{rvF?,2,4,gamma_below_3,,,,,,,
J?l|bfN}Vk?,11,32,2,MMV-001,63,JEhbtj{rvw?,3,4,alpha_above_3,,,,,,,
J?l|bfN}Vk_,11,33,3,MMV-002,243,JEhbtn{ru]?,2,4,gamma_below_3,,,,,,,
J?p|v@Zl^m?,11,31,8,MMV-001,327,JEhbtj{rvD?,2,4,gamma_below_3,,,,,,,
J?qzun`mjx_,11,32,6,MMV-002,199,JEhbtn{rvE?,2,4,gamma_below_3,,,,,,,
J?qz|pxtNE_,11,31,4,MMV-001,109,JEhbtj{rtk?,3,4,alpha_above_3,,,,,,,
J?urf^Umjx_,11,33,2,MMV-002,711,JEhbtn{rvE_,2,4,gamma_below_3,,,,,,,
J?zTbLZNZ{?,11,30,2,MMV-002,7,JEhbtn{rv??,3,4,alpha_above_3,,,,,,,
J?zTbLZN^{?,11,31,2,MMV-002,263,JEhbtn{rv@?,2,4,gamma_below_3,,,,,,,
J@DtUrMZvf?,11,30,8,MMV-001,278,JEhbtj{rrP?,2,4,gamma_below_3,,,,,,,
J@FJ]q{y~m?,11,32,12,MMV-002,333,JEhbtn{rtd?,2,4,gamma_below_3,,,,,,,
J@FLZnXynw_,11,32,12,MMV-002,211,JEhbtn{ruU?,2,4,gamma_below_3,,,,,,,
J@FLZniu^w?,11,31,8,MMV-001,31,JEhbtj{rvo?,3,4,alpha_above_3,,,,,,,
J@GZQnoZY|?,11,27,4,MMV-001,1,JEhbtj{rs??,3,4,alpha_above_3,,,,,,,
J@HOzZI[~x?,11,28,8,MMV-001,257,JEhbtj{rs@?,2,4,gamma_below_3,,,,,,,
J@HUO|l^ff?,11,29,12,MMV-002,66,JEhbtn{rqC?,2,4,gamma_below_3,,,,,,,
J@HURe^z^{?,11,31,12,MMV-002,449,JEhbtn{rsF?,2,4,gamma_below_3,,,,,,,
J@HUS~k[~{?,11,30,8,MMV-001,449,JEhbtj{rsF?,2,4,gamma_below_3,,,,,,,
J@HUS~k^ff?,11,30,8,MMV-001,269,JEhbtj{rt`?,2,4,gamma_below_3,,,,,,,
J@H]S~k{~{?,11,32,12,MMV-002,355,JEhbtn{ruL?,2,4,gamma_below_3,,,,,,,
J@O^@\}tvq_,11,30,12,MMV-002,193,JEhbtn{rsE?,2,4,gamma_below_3,,,,,,,
J@O^Alxj~{?,11,30,12,MMV-002,322,JEhbtn{rqD?,2,4,gamma_below_3,,,,,,,
J@PRtO^x^y?,11,29,8,MMV-001,322,JEhbtj{rqD?,2,4,gamma_below_3,,,,,,,
J@ZDZnXfnw_,11,32,12,MMV-002,214,JEhbtn{rrU?,2,3,gamma_below_3,,,,,,,
J@ZMdi}VvU_,11,32,12,MMV-002,205,JEhbtn{rte?,2,3,gamma_below_3,,,,,,,
J@]TM^aVjj?,11,30,8,MMV-001,75,JEhbtj{ruc?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
J@]cnJRZi}?,11,30,4,MMV-001,89,JEhbtj{rss?,2,3,gamma_below_3,,,,,,,
J@]eeZeFzm?,11,30,8,MMV-001,27,JEhbtj{ruo?,3,4,alpha_above_3,,,,,,,
J@]nchfu]}?,11,32,12,MMV-002,79,JEhbtn{rvc?,2,3,gamma_below_3,,,,,,,
J@]rMfMm~y?,11,33,12,MMV-002,335,JEhbtn{rvd?,2,3,gamma_below_3,,,,,,,
J@d\jrk{~]?,11,33,6,MMV-002,359,JEhbtn{rvL?,2,3,gamma_below_3,,,,,,,
J@d|enh]n[_,11,33,12,MMV-002,215,JEhbtn{rvU?,2,3,gamma_below_3,,,,,,,
J@hR^b[fvN?,11,31,8,MMV-001,279,JEhbtj{rvP?,2,3,gamma_below_3,,,,,,,
J@hztfYvVJ?,11,32,8,MMV-001,111,JEhbtj{rvk?,2,3,gamma_below_3,,,,,,,
J@iRY~eu^w?,11,31,4,MMV-001,103,JEhbtj{rvK?,2,3,gamma_below_3,,,,,,,
J@jM_|j\Z{?,11,30,12,MMV-002,13,JEhbtn{rt_?,3,4,alpha_above_3,,,,,,,
J@lu]bllru_,11,33,6,MMV-002,207,JEhbtn{rve?,2,3,gamma_below_3,,,,,,,
J@lvClZr^{?,11,32,6,MMV-002,271,JEhbtn{rv`?,2,3,gamma_below_3,,,,,,,
J@l|bfNuVK_,11,32,4,MMV-001,207,JEhbtj{rve?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
J@oik~e]^{?,11,31,12,MMV-002,99,JEhbtn{ruK?,2,4,gamma_below_3,,,,,,,
J@pi~JRnLu?,11,31,4,MMV-001,205,JEhbtj{rte?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
J@plMeyV~y?,11,32,12,MMV-002,334,JEhbtn{rrd?,2,3,gamma_below_3,,,,,,,
J@qQz^dmnw?,11,31,8,MMV-001,79,JEhbtj{rvc?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
J@qm_|f]^{?,11,31,12,MMV-002,269,JEhbtn{rt`?,2,4,gamma_below_3,,,,,,,
JACyTVe\vr?,11,29,8,MMV-001,261,JEhbtj{rt@?,2,4,gamma_below_3,,,,,,,
JAD|uPrj^]?,11,31,12,MMV-002,77,JEhbtn{rtc?,2,4,gamma_below_3,,,,,,,
JAG^A[v]^{?,11,29,6,MMV-002,257,JEhbtn{rs@?,2,4,gamma_below_3,,,,,,,
JAG^A[v^br?,11,28,6,MMV-002,1,JEhbtn{rs??,3,4,alpha_above_3,,,,,,,
JAG^A[v~fr?,11,30,6,MMV-002,321,JEhbtn{rsD?,2,4,gamma_below_3,,,,,,,
JAG^B|wrll_,11,30,6,MMV-002,196,JEhbtn{rpE?,2,4,gamma_below_3,,,,,,,
JAG^B~Mlnp_,11,31,6,MMV-002,705,JEhbtn{rsE_,2,4,gamma_below_3,,,,,,,
JAG^E]v~fr?,11,32,6,MMV-002,961,JEhbtn{rsF_,2,4,gamma_below_3,,,,,,,
JAHHbNwFz{?,11,27,4,MMV-001,4,JEhbtj{rp??,3,4,alpha_above_3,,,,,,,
JAHHbNwf~{?,11,29,4,MMV-001,772,JEhbtj{rp@_,2,4,gamma_below_3,,,,,,,
JAHHbo^xn{?,11,28,4,MMV-001,320,JEhbtj{roD?,2,4,gamma_below_3,,,,,,,
JAHaXiZ]vx?,11,28,4,MMV-001,260,JEhbtj{rp@?,2,4,gamma_below_3,,,,,,,
JAHaXl{e~u?,11,29,6,MMV-002,65,JEhbtn{rsC?,2,4,gamma_below_3,,,,,,,
JAHcrrNl~{?,11,31,6,MMV-002,452,JEhbtn{rpF?,2,4,gamma_below_3,,,,,,,
JAHcu]u]^{?,11,30,4,MMV-001,452,JEhbtj{rpF?,2,4,gamma_below_3,,,,,,,
JAHe\g^}Nu?,11,30,4,MMV-001,353,JEhbtj{rsL?,2,4,gamma_below_3,,,,,,,
JAHe\h{e~u?,11,30,4,MMV-001,332,JEhbtj{rpd?,2,4,gamma_below_3,,,,,,,
JAHe\iZ^Ju?,11,29,4,MMV-001,76,JEhbtj{rpc?,3,4,alpha_above_3,,,,,,,
JAHwuUqX~r?,11,29,4,MMV-001,274,JEhbtj{rqP?,2,4,gamma_below_3,,,,,,,
JAH}T_^w~u?,11,30,4,MMV-001,338,JEhbtj{rqT?,2,4,gamma_below_3,,,,,,,
JAJL_|x^fN?,11,30,6,MMV-002,76,JEhbtn{rpc?,2,4,gamma_below_3,,,,,,,
JAJL_|}}VM_,11,31,6,MMV-002,210,JEhbtn{rqU?,2,4,gamma_below_3,,,,,,,
JAJLbpff~{?,11,31,6,MMV-002,332,JEhbtn{rpd?,2,4,gamma_below_3,,,,,,,
JAJLfNwFz{?,11,30,4,MMV-001,15,JEhbtj{rv_?,3,4,alpha_above_3,,,,,,,
JAJe\iZ^Ju?,11,30,1,MMV-001,204,JEhbtj{rpe?,3,3,private_obstruction_eternal_false,"{""attack"":5,""failed_guards"":[{""guard"":0,""newly_undominated"":8},{""guard"":1,""newly_undominated"":3},{""guard"":2,""newly_undominated"":4}],""independent_set_mask"":7}",0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
JAL@G|}{vY_,11,29,3,MMV-002,192,JEhbtn{roE?,2,4,gamma_below_3,,,,,,,
JALBdK^zNy?,11,29,8,MMV-001,321,JEhbtj{rsD?,2,4,gamma_below_3,,,,,,,
JALtMC^y^u?,11,30,8,MMV-001,337,JEhbtj{rsT?,2,4,gamma_below_3,,,,,,,
JAMc~RsRzm?,11,30,8,MMV-001,23,JEhbtj{rvO?,3,4,alpha_above_3,,,,,,,
JAMeK~sYz{?,11,30,8,MMV-001,78,JEhbtj{rrc?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
JANDG|rZZ{?,11,29,6,MMV-002,9,JEhbtn{rs_?,3,4,alpha_above_3,,,,,,,
JANDG|rZ^{?,11,30,6,MMV-002,265,JEhbtn{rs`?,2,4,gamma_below_3,,,,,,,
JANDNfkFz{?,11,30,4,MMV-001,29,JEhbtj{rto?,3,4,alpha_above_3,,,,,,,
JAOZ\Xxlnm?,11,30,12,MMV-002,67,JEhbtn{ruC?,2,4,gamma_below_3,,,,,,,
JAPt\_^y^u?,11,30,8,MMV-001,323,JEhbtj{ruD?,2,4,gamma_below_3,,,,,,,
JAWy\Dxd~m?,11,30,12,MMV-002,73,JEhbtn{rsc?,2,4,gamma_below_3,,,,,,,
JApltG^{^m?,11,31,8,MMV-001,355,JEhbtj{ruL?,2,4,gamma_below_3,,,,,,,
JApltJXL~m?,11,31,8,MMV-001,334,JEhbtj{rrd?,2,3,gamma_below_3,,,,,,,
JB@XuUkX~r?,11,29,4,MMV-001,259,JEhbtj{ru@?,2,4,gamma_below_3,,,,,,,
JB@m\vWnnZ?,11,32,8,MMV-001,839,JEhbtj{rvD_,2,4,gamma_below_3,,,,,,,
JBAmR^[m~{?,11,32,8,MMV-001,845,JEhbtj{rtd_,2,4,gamma_below_3,,,,,,,
JBBLUu{Z~{?,11,32,4,MMV-001,798,JEhbtj{rrp_,2,4,gamma_below_3,,,,,,,
JBFLRNZnV[?,11,31,4,MMV-001,55,JEhbtj{rvW?,3,4,alpha_above_3,,,,,,,
JBSuLQNZvf?,11,30,4,MMV-001,267,JEhbtj{ru`?,2,3,gamma_below_3,,,,,,,
JBS}LPrb~]?,11,31,6,MMV-002,89,JEhbtn{rss?,2,3,gamma_below_3,,,,,,,
JBYmPmzv^m?,11,34,12,MMV-002,471,JEhbtn{rvV?,2,3,gamma_below_3,,,,,,,
JBYmUjuNtu_,11,33,8,MMV-001,367,JEhbtj{rvl?,2,3,gamma_below_3,,,,,,,
JBZT\bHF~N?,11,31,2,MMV-001,307,JEhbtj{ruX?,2,4,gamma_below_3,,,,,,,
JB`\ZQ|uvM?,11,31,8,MMV-001,87,JEhbtj{rvS?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
JB`\]Q|]vM?,11,31,8,MMV-001,93,JEhbtj{rts?,2,3,gamma_below_3,,,,,,,
JBamPtfv^{?,11,32,12,MMV-002,331,JEhbtn{rud?,2,3,gamma_below_3,,,,,,,
JBamQx}mvM_,11,32,12,MMV-002,213,JEhbtn{rtU?,2,3,gamma_below_3,,,,,,,
JBbLQs|Xz{?,11,30,6,MMV-002,11,JEhbtn{ru_?,3,3,private_obstruction_eternal_false,"{""attack"":10,""failed_guards"":[{""guard"":1,""newly_undominated"":7},{""guard"":2,""newly_undominated"":8}],""independent_set_mask"":7}",0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
JBbLQs|X~{?,11,31,6,MMV-002,267,JEhbtn{ru`?,2,3,gamma_below_3,,,,,,,
JBbLQs|x~{?,11,32,6,MMV-002,345,JEhbtn{rst?,2,3,gamma_below_3,,,,,,,
JBbLRL}uty_,11,32,6,MMV-002,203,JEhbtn{rue?,2,3,gamma_below_3,,,,,,,
JBbLRNZnR{?,11,31,4,MMV-001,94,JEhbtj{rrs?,3,3,eternal_false_without_private_obstruction,,0,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
JBhlmN[M~q_,11,33,8,MMV-001,471,JEhbtj{rvV?,2,3,gamma_below_3,,,,,,,
JBhmMqv}`~_,11,34,8,MMV-001,879,JEhbtj{rvl_,2,3,gamma_below_3,,,,,,,
JCQj_~x~fN?,11,32,6,MMV-002,466,JEhbtn{rqV?,2,4,gamma_below_3,,,,,,,
JCQjfo}vfN?,11,31,4,MMV-001,271,JEhbtj{rv`?,2,3,gamma_below_3,,,,,,,
JCUj`~F}N{?,11,32,6,MMV-002,103,JEhbtn{rvK?,2,3,gamma_below_3,,,,,,,
JC_~RZX\nm?,11,31,8,MMV-001,333,JEhbtj{rtd?,2,4,gamma_below_3,,,,,,,
