catalog_id,n,m,graph6,gamma,i,alpha,gamma_infinity_one_guard,theta,gamma_witness,minimum_dominating_set_count,i_witness,alpha_witness,greatest_eternal_family_size,greatest_eternal_family_sha256
MMV-001,10,26,IEhbtj{ro,2,2,3,3,4,8 9,1,8 9,0 1 2,86,cc564091912f49e1d6b1bf32da2cbc9fe9883dba16da69ba500226565a4dcd71
MMV-002,10,27,IEhbtn{ro,2,2,3,3,4,6 8,3,6 8,0 1 2,92,aaa87686772966823245923d299a1b7311b05720815eb062f1139218d401e7a1
MMV-003,11,35,JQyurj]yt|?,2,2,2,3,4,0 1,20,0 1,0 1,125,840db1fd42c702ac5e04ab58d1be851f4f6fc50acd4a9b95e65f595a0057c9c9
MMV-004,11,33,JEhbtj{rvu?,2,2,3,3,4,1 10,2,5 10,0 1 2,118,6a63603ddac484938e9dc6f278e204461115295b7849955462d15affa8d420df
MMV-005,11,33,JEhbtj{rvx?,2,2,3,3,4,8 9,2,8 9,0 1 2,115,0ae9d7a28ae7226d2e4701940b10f454cb96f4aafff3630a09fa47be907e8182
MMV-006,11,33,JEhbtj{rvf?,2,2,3,3,4,8 9,2,8 9,0 1 2,112,88fa78270cfbd01c043350d83bc5ab7864e1d19f9f93e79c9d08bff724475b05
MMV-007,11,33,JEhbtj{ruv?,2,2,3,3,4,5 10,3,5 10,0 1 2,112,88fa78270cfbd01c043350d83bc5ab7864e1d19f9f93e79c9d08bff724475b05
MMV-008,11,33,JEhbtj{rvT_,2,2,3,3,4,7 10,2,7 10,0 1 2,110,c063f8e4bca567045e84a332b42e838fb6cb9e72356d9436dd7e39387e6ee5c4
MMV-009,11,33,JEhbtj{rtt_,2,2,3,3,4,5 10,3,5 10,0 1 2,110,c063f8e4bca567045e84a332b42e838fb6cb9e72356d9436dd7e39387e6ee5c4
MMV-010,11,33,JEhbtj{rrt_,2,2,3,3,4,7 10,3,7 10,0 1 2,112,923012ea0f64e0d5696a42a3b832a6564fd91bd4f597c0bad2bc036a492b4445
MMV-011,11,34,JEhbtj{rv}?,2,3,3,3,4,0 10,4,0 1 2,0 1 2,125,385d3d8db1d84250c643c352d0178da3689a417262e3da1bf3ddfa8f657a5dbf
MMV-012,11,34,JEhbtj{rv|?,2,2,3,3,4,0 10,5,7 10,0 1 2,122,eb1a4ac3952ef2aa11a9135d45b4e2e6971ce6d1ed90ac44e69903b47a0141a1
MMV-013,11,34,JEhbtj{rvv?,2,2,3,3,4,1 10,5,5 10,0 1 2,122,63cb54899d0786216f257a6af377688383d91c5eb2c096ffe82b3bafb25f6c3d
MMV-014,11,34,JEhbtj{rv^?,2,2,3,3,4,0 10,5,8 9,0 1 2,112,33e650a5867d33f55c5d573ace677455a670c5e241d44347b5a4f523c81bb33c
MMV-015,11,34,JEhbtj{rvx_,2,2,3,3,4,2 10,4,8 9,0 1 2,115,0ae9d7a28ae7226d2e4701940b10f454cb96f4aafff3630a09fa47be907e8182
MMV-016,11,34,JEhbtj{rvt_,2,2,3,3,4,2 10,5,5 10,0 1 2,120,a63be2134859bac7054b21572052317557bacad2b6261a8664add8a07de025cc
MMV-017,11,34,JEhbtj{rvl_,2,2,3,3,4,0 10,4,8 9,0 1 2,110,ad8ce1d9ae294d1b91a911dd67048da2dd71f8dedc3bc513026b16fd4c1df5ae
MMV-018,11,34,JEhbtj{rv\_,2,2,3,3,4,0 10,4,3 10,0 1 2,119,be8e4a3c970adaf95a2b1393bcda88e7d1438f0e75373909e3269053ef6f7bdc
MMV-019,11,34,JEhbtj{rvf_,2,2,3,3,4,2 10,4,8 9,0 1 2,112,88fa78270cfbd01c043350d83bc5ab7864e1d19f9f93e79c9d08bff724475b05
MMV-020,11,34,JEhbtj{rtv_,2,2,3,3,4,1 10,5,1 10,0 1 2,120,6392e89991bc8a2f9b52543372427ea3f9ba093cd5da8fc298ad21585a193d26
MMV-021,11,35,JEhbtj{rv~?,2,2,3,3,4,0 10,8,8 9,0 1 2,128,d6d135c73ab12bc41edb7b20d55ea79484cfba379e2b611454e73de550425691
MMV-022,11,35,JEhbtj{rv|_,2,2,3,3,4,0 10,7,7 10,0 1 2,125,d9fbe29a298b57b02030e25744a9504868da36567218050b954d249fdc44b994
MMV-023,11,35,JEhbtj{rvv_,2,2,3,3,4,1 10,7,5 10,0 1 2,125,8d2f1e0d4265e7aa5dd0efca8decc793ed199fd2ff86e34a63934a37ce297aef
MMV-024,11,36,JEhbtj{rv~_,1,1,3,3,4,10,1,10,0 1 2,131,1f87ead40ea9287101caadb37fa9817711f210d8248789fc528f787fe6c9a991
