catalog_id,n,graph6,k,claim,four_coloring_of_complement,node_count,trace_sha256,claim_sha256,certificate_sha256,certificate_bytes,certificate_path,verified
MMV-001,10,IEhbtj{ro,3,theta=4,0 1 2 0 2 1 2 0 1 3,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,0079b08162bb4c856e433fddc7c42c12bd576276d9a2abe989610485e8da6d70,f6b9b1e6901c6ced76d6e216cd26a46632aaf14e23f1c6eb77c5dc53641cc7ef,4751,certificates/mmv2022_theta_k3/MMV-001-theta-gt-3.ndjson,yes
MMV-002,10,IEhbtn{ro,3,theta=4,0 1 2 0 2 1 2 0 1 3,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,9ee751f44fb9410a624f832705984313ab42a541912739cbc52edd2b951ca6d7,adf75e9fbc64462a2dc5642270a45cc5cbec4c709ac8eea148593313f026c948,4751,certificates/mmv2022_theta_k3/MMV-002-theta-gt-3.ndjson,yes
MMV-003,11,JQyurj]yt|?,3,theta=4,1 0 1 0 2 1 2 0 3 2 1,316,1bbd78fff34baf452e5733262419cb7e465fd676e9aa87c99eb835230b17729c,ceaf72150d413d41aa5ea160fc617feab90868d3fd7addb5b0af6604048a0f4a,dfc27cccc20ce988bac17c5566a578e29076059eaa1bcad2998fc99bb8906fc0,15056,certificates/mmv2022_theta_k3/MMV-003-theta-gt-3.ndjson,yes
MMV-004,11,JEhbtj{rvu?,3,theta=4,1 0 2 1 2 0 2 1 0 3 1,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,3aa37945999fa4dc2251fb99f3585a1d73e4f80e058a99a29bfd92566ed76187,ab5999293083d0e49ecbdea044031ac898d7b2e52d5fc92b6dc8cec05a272597,4753,certificates/mmv2022_theta_k3/MMV-004-theta-gt-3.ndjson,yes
MMV-005,11,JEhbtj{rvx?,3,theta=4,1 2 0 1 0 2 0 1 2 3 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,8b3481ae224c7704034552bb20f12a2a48f289f1d34fb9a519584b2512950fc4,843ba2340b30a9750e91a90ff7606230070ca683026eb89b9a6257459cd99069,4753,certificates/mmv2022_theta_k3/MMV-005-theta-gt-3.ndjson,yes
MMV-006,11,JEhbtj{rvf?,3,theta=4,0 2 1 2 0 1 2 1 3 0 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,0b0c759a09fddef48ec79d2b831f00ab5682d17b42a3e46d62b0b8886305f1dd,dbf3e9b488d35a3c3328953a11a91279d4334cc4323d932a0add638610e30898,4753,certificates/mmv2022_theta_k3/MMV-006-theta-gt-3.ndjson,yes
MMV-007,11,JEhbtj{ruv?,3,theta=4,1 2 0 2 1 0 2 0 3 1 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,ab40874028aed6958aee211f957dd6fdae5704f15e03bf348b0a31d8c3b648e2,11cb3382febc85da1da409c183f8bccee28b06a9b48164cd7f06a76f9b75cd17,4753,certificates/mmv2022_theta_k3/MMV-007-theta-gt-3.ndjson,yes
MMV-008,11,JEhbtj{rvT_,3,theta=4,0 1 2 0 2 1 2 0 1 3 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,ba4d91041198d26117b8f68728b59e508f34cea7b1ae54540d1deda489f52ba1,cd8847fd19d5d71b49557a99bbf5a21842a9d27a656caa80209bae97eb524fa6,4753,certificates/mmv2022_theta_k3/MMV-008-theta-gt-3.ndjson,yes
MMV-009,11,JEhbtj{rtt_,3,theta=4,1 0 2 1 2 0 2 1 0 3 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,44347a3cfc54e5e9552f990b470bf5fa7557b7574bfe37bc2d00530564730c68,dafcf122ce97eb070a3b33b6641279977e4c4fafaaa16a924b8b8a31c2667354,4753,certificates/mmv2022_theta_k3/MMV-009-theta-gt-3.ndjson,yes
MMV-010,11,JEhbtj{rrt_,3,theta=4,0 1 2 0 2 1 2 0 1 3 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,213330960b65b34821b41a7423919411c8bf8dfabf17d37086f997de61cc049c,a5c93b8160c16ef67db8305a5fa8a1816d7a58fad90360ac588878497c0a7439,4753,certificates/mmv2022_theta_k3/MMV-010-theta-gt-3.ndjson,yes
MMV-011,11,JEhbtj{rv}?,3,theta=4,0 1 2 0 2 1 2 0 1 3 0,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,160b34256c34ff6ead21c75186f3f1e0ded89082d3501bddd2e979d6208a4708,57a3e3c9d32a6ece992d00b5b89315d190776488cca88ed5b08b2ad14ea82398,4753,certificates/mmv2022_theta_k3/MMV-011-theta-gt-3.ndjson,yes
MMV-012,11,JEhbtj{rv|?,3,theta=4,0 1 2 0 2 1 2 0 3 1 2,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,2a1599e43beefbef8922989286217b8763d30c123240eb5cbf1e5dc25ef9fa3a,5b40f727c17ec25456dbfb480bd0f654da80a6fd425f6f67462a452af0d61cc6,4753,certificates/mmv2022_theta_k3/MMV-012-theta-gt-3.ndjson,yes
MMV-013,11,JEhbtj{rvv?,3,theta=4,1 0 2 1 2 0 2 1 3 0 1,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,dc242dc8ae37f5ffbb8de4d84d7c55a6d706e09023f6322d09026b3930b49898,64826f794da67bfdc9f2deca06c5607c8866358c1965558e791c4339d02b08bc,4753,certificates/mmv2022_theta_k3/MMV-013-theta-gt-3.ndjson,yes
MMV-014,11,JEhbtj{rv^?,3,theta=4,0 2 1 0 1 2 1 0 3 2 1,94,6fb63eb593aee4a839f8379e5844423a09c8d9c83f7e7799d89b2f2bf1f76939,c7985a3cc79705154a2b56d344e5c3a6b4c3d87c46abe753caa4408bbcad5240,f122a213e801a9de8c4c885f07a6e7881927fdc5997c84ba205c7b3b563a5557,4753,certificates/mmv2022_theta_k3/MMV-014-theta-gt-3.ndjson,yes
