canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
K?CxqxjXus}d,12,34,4,3,4,,,
K?CxrLsYmvZi,12,34,2,3,4,,,
K?CxrTeumz]i,12,35,4,3,4,,,
K?Cxrhjuux[r,12,35,2,3,4,,,
K?Cxuv[x~i\T,12,37,2,3,4,,,
K?CyptfvNQ}p,12,35,4,3,4,,,
K?CypthXux}s,12,34,4,3,4,,,
K?Cypth\mx[x,12,34,4,3,4,,,
K?Cypv[x~R]p,12,36,4,3,4,,,
K?CyqxumfR{y,12,35,4,3,4,,,
K?CzRJXm}}]s,12,36,4,3,4,,,
K?CzZIxvUv]U,12,36,4,3,4,,,
K?DXqs{\fR{{,12,34,2,3,4,,,
K?DXrLg\mvVk,12,34,2,3,4,,,
K?DXrNZnV[]F,12,36,2,3,4,,,
K?DXrPeu|z]w,12,35,2,3,4,,,
K?DXrPvuty[r,12,35,2,3,4,,,
K?DXr\eulx]J,12,35,2,3,4,,,
K?DXrbZnV][u,12,36,2,3,4,,,
K?DXrnYnFR{u,12,36,2,3,4,,,
K?DXuu{x~R]p,12,37,2,3,4,,,
K?DXyoxX~X]X,12,34,1,3,4,,,
K?DXyoxx~X]X,12,35,1,3,4,,,
K?DXypsm^V[y,12,35,4,3,4,,,
K?DXzLsYlrZJ,12,34,2,3,4,,,
K?DXzMxu^h\R,12,36,2,3,4,,,
K?DXzTemMr}i,12,35,4,3,4,,,
K?DXzhjmUp{r,12,35,2,3,4,,,
K?DXzixuNU{u,12,36,4,3,4,,,
K?DX|rXx~i\T,12,37,2,3,4,,,
K?DYrMznVh\R,12,36,2,3,4,,,
K?DYriznFU{u,12,36,4,3,4,,,
K?DZZHqn]rVX,12,35,4,3,4,,,
K?DZZe|uTs{f,12,36,4,3,4,,,
K?DbbV]neyvk,12,36,1,3,4,,,
K?Dr]y{ulu[N,12,37,1,3,4,,,
K?E]J}y]nW}L,12,37,4,3,4,,,
K?E]b}y]N[{m,12,37,4,3,4,,,
K?E]jt{mVT{m,12,37,4,3,4,,,
K?FMDtynj}]k,12,37,2,3,4,,,
K?Jdzyx]exy],12,38,2,3,4,,,
K?KqjU^uN[}i,12,36,4,3,4,,,
K?Kqju]uN[{m,12,36,4,3,4,,,
K?KqrLmfuh~H,12,35,4,3,4,,,
K?Kqrlmfeh|J,12,35,4,3,4,,,
K?KrJY]t]v^Q,12,36,4,3,4,,,
K?KrjU\t]t\b,12,36,4,3,4,,,
K?KrjY[t]v\U,12,36,4,3,4,,,
K?KrrLkfUlzM,12,35,4,3,4,,,
K?LPjDm^S}ZL,12,34,4,3,4,,,
K?LPjDmfur~g,12,35,4,3,4,,,
K?LPjE^u^[~g,12,36,4,3,4,,,
K?LPj]]u^D~`,12,36,4,3,4,,,
K?LPj]]u^c|d,12,36,4,3,4,,,
K?LPjdmZS{zL,12,34,4,3,4,,,
K?LPjdmfer|i,12,35,4,3,4,,,
K?LPje]u^[|k,12,36,4,3,4,,,
K?LQrdlfli|p,12,35,4,3,4,,,
K?LZTa}uvJ}w,12,37,4,3,4,,,
K?MPi~Xw~\^a,12,37,4,3,4,,,
K?MPi~X{n\\i,12,37,4,3,4,,,
K?MdQzR\}}^c,12,37,4,3,4,,,
K?MlQxruun]e,12,37,4,3,4,,,
K?MtQrR\}}\k,12,37,4,3,4,,,
K?M|Qpruun[m,12,37,4,3,4,,,
K?SqhpbZs~^c,12,34,2,3,4,,,
K?Sqhpk[z]R{,12,33,2,3,4,,,
K?Sqhpkf~f\w,12,35,2,3,4,,,
K?SqhpnfvE~`,12,35,2,3,4,,,
K?SqhprZK}|w,12,34,2,3,4,,,
K?SqhprZs}\d,12,34,2,3,4,,,
K?Sqhp{fvF|w,12,35,2,3,4,,,
K?Sqhq^~FF|w,12,36,2,3,4,,,
K?Sr?|VMrX~o,12,33,2,3,4,,,
K?SrBY]t|v^o,12,36,2,3,4,,,
K?SrZY]t\r]R,12,36,2,3,4,,,
K?SrbY[t|v\s,12,36,2,3,4,,,
