# orbit_index,c01,c02,c03,c04,c12,c13,c14,c23,c24,c34
0,0,2,2,6,6,6,2,6,0,2
0,0,2,2,6,6,6,2,6,2,0
0,0,2,6,2,6,2,6,0,6,2
0,0,2,6,2,6,2,6,2,6,0
0,0,2,6,6,6,2,2,0,2,6
0,0,2,6,6,6,2,2,2,0,6
0,0,6,2,2,2,6,6,0,2,6
0,0,6,2,2,2,6,6,2,0,6
0,0,6,2,6,2,6,2,0,6,2
0,0,6,2,6,2,6,2,2,6,0
0,0,6,6,2,2,2,6,6,0,2
0,0,6,6,2,2,2,6,6,2,0
0,2,0,2,6,6,6,0,6,2,2
0,2,0,2,6,6,6,2,6,2,0
0,2,0,6,2,6,0,6,2,6,2
0,2,0,6,2,6,2,6,2,6,0
0,2,0,6,6,6,0,2,2,2,6
0,2,0,6,6,6,2,0,2,2,6
0,2,2,0,6,6,6,0,6,2,2
0,2,2,0,6,6,6,2,6,0,2
0,2,2,6,0,6,0,6,2,6,2
0,2,2,6,0,6,2,6,0,6,2
0,2,2,6,6,6,0,2,2,0,6
0,2,2,6,6,6,2,0,0,2,6
0,2,6,0,2,0,6,6,2,2,6
0,2,6,0,2,2,6,6,2,0,6
0,2,6,0,6,0,6,2,2,6,2
0,2,6,0,6,2,6,0,2,6,2
0,2,6,2,0,0,6,6,2,2,6
0,2,6,2,0,2,6,6,0,2,6
0,2,6,2,6,0,6,2,2,6,0
0,2,6,2,6,2,6,0,0,6,2
0,2,6,6,0,0,2,6,6,2,2
0,2,6,6,0,2,0,6,6,2,2
0,2,6,6,2,0,2,6,6,2,0
0,2,6,6,2,2,0,6,6,0,2
0,6,0,2,2,2,0,2,6,6,6
0,6,0,2,2,2,2,0,6,6,6
0,6,0,2,6,2,0,6,6,2,2
0,6,0,2,6,2,2,6,6,2,0
0,6,0,6,2,2,6,0,2,6,2
0,6,0,6,2,2,6,2,2,6,0
0,6,2,0,2,0,2,2,6,6,6
0,6,2,0,2,2,2,0,6,6,6
0,6,2,0,6,0,2,6,6,2,2
0,6,2,0,6,2,2,6,6,0,2
0,6,2,2,0,0,2,2,6,6,6
0,6,2,2,0,2,0,2,6,6,6
0,6,2,2,6,0,2,6,6,2,0
0,6,2,2,6,2,0,6,6,0,2
0,6,2,6,0,0,6,2,2,6,2
0,6,2,6,0,2,6,2,0,6,2
0,6,2,6,2,0,6,2,2,6,0
0,6,2,6,2,2,6,0,0,6,2
0,6,6,0,2,6,2,0,2,2,6
0,6,6,0,2,6,2,2,2,0,6
0,6,6,2,0,6,0,2,2,2,6
0,6,6,2,0,6,2,2,0,2,6
0,6,6,2,2,6,0,2,2,0,6
0,6,6,2,2,6,2,0,0,2,6
1,0,2,2,6,6,6,2,4,2,6
1,0,2,2,6,6,6,2,4,6,2
1,0,2,6,2,6,2,6,2,4,6
1,0,2,6,2,6,2,6,6,4,2
1,0,2,6,6,6,2,2,2,6,4
1,0,2,6,6,6,2,2,6,2,4
1,0,6,2,2,2,6,6,2,6,4
1,0,6,2,2,2,6,6,6,2,4
1,0,6,2,6,2,6,2,2,4,6
1,0,6,2,6,2,6,2,6,4,2
1,0,6,6,2,2,2,6,4,2,6
1,0,6,6,2,2,2,6,4,6,2
1,2,0,2,6,6,4,2,6,2,6
1,2,0,2,6,6,4,6,6,2,2
1,2,0,6,2,6,2,4,2,6,6
1,2,0,6,2,6,6,4,2,6,2
1,2,0,6,6,6,2,6,2,2,4
1,2,0,6,6,6,6,2,2,2,4
1,2,2,0,6,4,6,2,6,6,2
1,2,2,0,6,4,6,6,6,2,2
1,2,2,4,6,6,2,0,6,2,6
1,2,2,4,6,6,6,2,2,0,6
1,2,2,6,0,4,2,6,6,6,2
1,2,2,6,0,4,6,6,2,6,2
1,2,2,6,4,6,0,2,2,6,6
1,2,2,6,4,6,2,6,0,2,6
1,2,2,6,6,6,0,6,2,4,2
1,2,2,6,6,6,2,4,0,6,2
1,2,2,6,6,6,4,2,6,0,2
1,2,2,6,6,6,6,0,4,2,2
1,2,4,2,6,2,6,0,6,6,2
1,2,4,2,6,6,6,2,2,6,0
1,2,4,6,2,2,0,6,6,6,2
1,2,4,6,2,6,2,6,6,2,0
1,2,4,6,6,2,0,6,6,2,2
1,2,4,6,6,2,6,0,2,6,2
1,2,6,0,2,2,6,4,2,6,6
1,2,6,0,2,6,6,4,2,2,6
1,2,6,0,6,2,6,6,2,4,2
1,2,6,0,6,6,6,2,2,4,2
1,2,6,2,0,2,4,6,6,2,6
1,2,6,2,0,6,4,6,2,2,6
1,2,6,2,4,0,6,2,2,6,6
1,2,6,2,4,2,6,6,0,6,2
1,2,6,2,6,0,6,6,2,2,4
1,2,6,2,6,2,6,4,0,2,6
1,2,6,2,6,4,6,2,6,2,0
1,2,6,2,6,6,6,0,4,2,2
1,2,6,4,2,0,2,6,6,2,6
1,2,6,4,2,2,6,6,6,0,2
1,2,6,4,6,0,2,6,6,2,2
1,2,6,4,6,6,2,0,2,2,6
1,2,6,6,0,2,6,6,4,2,2
1,2,6,6,0,6,2,6,4,2,2
1,2,6,6,2,0,6,6,2,2,4
1,2,6,6,2,2,4,6,2,0,6
1,2,6,6,2,4,2,6,2,6,0
1,2,6,6,2,6,0,6,2,4,2
1,2,6,6,4,0,6,2,2,6,2
1,2,6,6,4,6,0,2,2,2,6
1,4,2,2,6,2,6,6,6,0,2
1,4,2,2,6,6,2,6,6,2,0
1,4,2,6,2,2,6,6,0,6,2
1,4,2,6,2,6,6,2,2,6,0
1,4,2,6,6,2,2,6,6,0,2
1,4,2,6,6,2,6,2,0,6,2
1,4,6,2,2,6,2,6,0,2,6
1,4,6,2,2,6,6,2,2,0,6
1,4,6,2,6,2,2,6,6,2,0
1,4,6,2,6,6,2,2,0,2,6
1,4,6,6,2,2,6,2,2,6,0
1,4,6,6,2,6,2,2,2,0,6
1,6,0,2,2,2,2,6,6,6,4
1,6,0,2,2,2,6,2,6,6,4
1,6,0,2,6,2,2,4,6,2,6
1,6,0,2,6,2,6,4,6,2,2
1,6,0,6,2,2,4,2,2,6,6
1,6,0,6,2,2,4,6,2,6,2
1,6,2,0,2,2,2,6,6,4,6
1,6,2,0,2,6,2,2,6,4,6
1,6,2,0,6,2,2,4,6,6,2
1,6,2,0,6,6,2,4,6,2,2
1,6,2,2,0,2,6,2,4,6,6
1,6,2,2,0,6,2,2,4,6,6
1,6,2,2,4,0,2,6,6,2,6
1,6,2,2,4,2,0,6,6,6,2
1,6,2,2,6,0,2,2,6,6,4
1,6,2,2,6,2,0,2,6,4,6
1,6,2,2,6,4,6,2,6,2,0
1,6,2,2,6,6,4,2,6,0,2
1,6,2,4,2,0,6,2,2,6,6
1,6,2,4,2,2,6,0,6,6,2
1,6,2,4,6,0,6,2,2,6,2
1,6,2,4,6,6,2,2,2,0,6
1,6,2,6,0,2,4,2,6,6,2
1,6,2,6,0,6,4,2,2,6,2
1,6,2,6,2,0,2,2,6,6,4
1,6,2,6,2,2,2,0,4,6,6
1,6,2,6,2,4,2,6,2,6,0
1,6,2,6,2,6,2,4,0,6,2
1,6,2,6,4,0,2,6,6,2,2
1,6,2,6,4,6,2,2,0,2,6
1,6,4,2,2,6,0,2,2,6,6
1,6,4,2,2,6,2,0,6,2,6
1,6,4,2,6,2,6,2,2,6,0
1,6,4,2,6,6,0,2,2,2,6
1,6,4,6,2,2,2,6,6,2,0
1,6,4,6,2,6,2,0,2,2,6
1,6,6,0,2,4,2,2,2,6,6
1,6,6,0,2,4,2,6,2,2,6
1,6,6,2,0,4,2,2,6,2,6
1,6,6,2,0,4,6,2,2,2,6
1,6,6,2,2,2,0,2,6,4,6
1,6,6,2,2,2,2,0,4,6,6
1,6,6,2,2,2,4,6,2,0,6
1,6,6,2,2,2,6,4,0,2,6
1,6,6,2,4,2,0,6,6,2,2
1,6,6,2,4,2,6,2,0,6,2
1,6,6,4,2,2,2,6,6,0,2
1,6,6,4,2,2,6,0,2,6,2
2,0,2,2,4,6,6,4,4,2,2
2,0,2,4,2,6,4,6,2,4,2
2,0,4,2,2,4,6,6,2,2,4
2,0,4,6,6,4,2,2,2,2,4
2,0,6,4,6,2,4,2,2,4,2
2,0,6,6,4,2,2,4,4,2,2
2,2,0,2,4,6,4,2,6,4,2
2,2,0,4,2,6,2,4,4,6,2
2,2,2,0,4,4,6,2,6,2,4
2,2,2,4,0,4,2,6,2,6,4
2,2,2,4,4,4,2,6,2,6,0
2,2,2,4,4,4,6,2,6,2,0
2,2,2,4,6,4,2,0,2,4,6
2,2,2,4,6,4,2,4,2,0,6
2,2,2,6,4,4,0,2,4,2,6
2,2,2,6,4,4,4,2,0,2,6
2,2,4,0,2,2,6,4,4,2,6
2,2,4,2,0,2,4,6,2,4,6
2,2,4,2,4,2,4,6,2,0,6
2,2,4,2,4,6,4,2,6,0,2
2,2,4,2,6,2,4,0,2,6,4
2,2,4,2,6,2,4,4,2,6,0
2,2,4,4,2,2,6,4,0,2,6
2,2,4,4,2,6,2,4,0,6,2
2,2,4,6,2,2,0,4,6,2,4
2,2,4,6,2,2,4,4,6,2,0
2,2,6,2,4,0,4,2,4,6,2
2,2,6,2,4,4,4,2,0,6,2
2,2,6,4,2,0,2,4,6,4,2
2,2,6,4,2,4,2,4,6,0,2
2,4,0,2,2,4,2,2,6,6,4
2,4,0,6,6,4,2,2,2,2,4
2,4,2,0,2,2,4,2,6,4,6
2,4,2,2,0,2,2,4,4,6,6
2,4,2,2,4,2,2,0,4,6,6
2,4,2,2,4,6,6,0,4,2,2
2,4,2,2,6,2,2,6,4,0,4
2,4,2,2,6,2,2,6,4,4,0
2,4,2,4,2,2,0,2,6,4,6
2,4,2,4,2,6,0,6,2,4,2
2,4,2,6,2,2,6,2,0,4,4
2,4,2,6,2,2,6,2,4,4,0
2,4,4,2,2,0,2,2,6,6,4
2,4,4,2,2,0,6,6,2,2,4
2,4,6,0,6,2,4,2,2,4,2
2,4,6,2,2,6,2,2,0,4,4
2,4,6,2,2,6,2,2,4,0,4
2,4,6,6,0,2,2,4,4,2,2
2,6,0,4,6,2,2,4,4,2,2
2,6,0,6,4,2,4,2,2,4,2
2,6,2,2,4,0,4,6,4,2,2
2,6,2,2,4,4,0,6,4,2,2
