seed,deleted_D5_lines,constrained_max_inner_product
0,12-16,0.5418552137132361
1,8-10,0.5418552137132367
2,5-15,0.5418552137132363
3,1-15,0.5419382708913998
4,13-18,0.5416720642083677
5,12-16,0.5418552137132345
6,8-10,0.5416720642083649
7,12-17,0.5416720642083643
8,6-13,0.5418552137132344
9,8-17,0.5418552137132391
10,14-19,0.5418552137132380
11,2-19,0.5419382708914000
12,5-11,0.5418552137132393
13,17-19,0.5418552137132387
14,2-16,0.5418552137132338
15,13-17,0.5418552137132335
16,10-11,0.5497773646979462
17,14-16,0.5416720642083653
18,7-16,0.5416720642083641
19,8-11,0.5418552137132335
20,5-16,0.5419382708914007
21,5-15,0.5418552137132365
22,7-14,0.5419382708914013
23,0-13,0.5416720642083658
24,6-7,0.5700109348294031
25,3-9,0.5418552137132351
26,9-16,0.5418552137132339
27,0-13,0.5416720642083640
28,12-17,0.5416720642083659
29,1-17,0.5419382708914015
30,2-4,0.5418552137132402
31,10-18,0.5416720642083643
32,3-16,0.5418552137132414
33,8-16,0.5418552137132358
34,0-1,0.5700109348294029
35,1-6,0.5418552137132338
36,3-7,0.5418552137132345
37,3-14,0.5418552137132338
38,4-9,0.5419382708913998
39,10-18,0.5418552137132354
40,10-14,0.5418552137132384
41,12-19,0.5418552137132335
42,1-15,0.5419382708914005
43,9-13,0.5416720642083641
44,2-12,0.5419382708914013
45,11-17,0.5419382708914007
46,9-18,0.5419382708914013
47,1-14,0.5419382708914015
48,2-7,0.5416720642083644
49,0-7,0.5416720642083652
