48
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
1 4 5 6 0 12 10 13 14 15 3 16 2 24 25 26 22 27 28 29 30 31 11 32 7 8 9 33 41 42 37 43 39 17 44 45 34 20 46 23 35 18 19 21 36 40 47 38
2 7 8 9 17 18 19 20 0 11 21 3 33 28 34 35 32 36 37 38 1 23 31 10 12 27 43 41 44 45 14 40 46 24 30 47 4 5 6 29 22 25 26 42 13 39 16 15
3 10 11 0 6 22 4 23 9 8 1 2 16 39 26 25 12 38 40 36 21 20 5 7 32 15 14 47 45 44 43 37 24 46 42 41 19 31 17 13 18 35 34 30 29 28 33 27
4 0 12 10 1 2 3 24 25 26 6 22 5 7 8 9 11 33 41 42 37 43 16 39 13 14 15 17 18 19 20 21 23 27 36 40 44 30 47 32 45 28 29 31 34 35 38 46
5 13 14 15 27 28 29 30 1 16 31 6 17 41 44 45 39 34 20 46 4 32 43 3 2 33 21 18 36 40 25 35 47 7 37 38 0 12 10 42 11 8 9 19 24 23 22 26
6 3 16 1 10 11 0 32 15 14 4 5 22 23 9 8 2 46 35 34 31 30 12 13 39 26 25 38 40 36 21 20 7 47 19 18 29 43 27 24 28 45 44 37 42 41 17 33
7 17 18 19 2 33 21 28 34 35 9 32 8 12 27 43 31 41 44 45 14 40 3 46 20 0 11 24 25 26 5 42 29 36 13 39 30 1 16 10 47 37 38 23 4 22 15 6
8 20 0 11 36 37 38 1 2 3 23 9 24 44 30 47 46 4 5 6 7 10 40 21 33 41 42 25 13 39 34 22 16 12 14 15 17 18 19 45 31 27 43 26 28 29 32 35
9 21 3 2 19 31 17 10 11 0 7 8 32 29 43 27 33 6 22 4 23 1 18 20 46 35 34 15 39 13 42 5 12 16 26 25 38 40 36 28 37 47 30 14 45 44 24 41
10 6 22 4 3 16 1 39 26 25 0 12 11 32 15 14 5 47 45 44 43 37 2 24 23 9 8 46 35 34 31 30 13 38 29 28 42 21 33 7 41 40 36 20 19 18 27 17
11 23 9 8 38 40 36 21 3 2 20 0 46 45 42 41 24 19 31 17 10 7 37 1 16 47 30 35 29 28 26 18 33 32 43 27 6 22 4 44 5 15 14 34 39 13 12 25
12 24 25 26 33 41 42 37 4 22 43 10 27 18 36 40 23 44 30 47 0 39 21 6 5 17 31 28 34 35 8 45 38 13 20 46 1 2 3 19 16 14 15 29 7 32 11 9
13 27 28 29 5 17 31 41 44 45 15 39 14 2 33 21 43 18 36 40 25 35 6 47 30 1 16 7 8 9 12 19 42 34 24 23 37 4 22 3 38 20 46 32 0 11 26 10
14 30 1 16 34 20 46 4 5 6 32 15 7 36 37 38 47 0 12 10 13 3 35 31 17 18 19 8 24 23 44 11 22 2 25 26 27 28 29 40 43 33 21 9 41 42 39 45
15 31 6 5 29 43 27 3 16 1 13 14 39 42 21 33 17 10 11 0 32 4 28 30 47 45 44 26 23 24 19 12 2 22 9 8 46 35 34 41 20 38 37 25 40 36 7 18
16 32 15 14 46 35 34 31 6 5 30 1 47 40 19 18 7 29 43 27 3 13 20 4 22 38 37 45 42 41 9 28 17 39 21 33 10 11 0 36 12 26 25 44 23 24 2 8
17 2 33 21 7 8 9 12 27 43 19 31 18 20 0 11 3 24 25 26 5 42 32 29 28 34 35 36 37 38 1 23 10 41 4 22 13 14 15 46 39 44 45 40 30 47 6 16
18 28 34 35 41 44 45 14 7 32 40 19 36 25 13 39 29 30 1 16 17 46 42 9 8 24 23 37 4 22 27 47 15 20 5 6 2 33 21 26 3 0 11 38 12 10 31 43
19 9 32 7 21 3 2 46 35 34 17 18 31 10 11 0 8 16 47 30 40 14 33 28 29 43 27 6 22 4 23 1 20 15 38 37 45 42 41 12 44 39 13 5 26 25 36 24
20 36 37 38 8 24 23 44 30 47 11 46 0 33 41 42 40 25 13 39 34 22 9 16 1 2 3 12 27 43 18 26 45 4 28 29 14 7 32 21 15 5 6 10 17 31 35 19
