16
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1 3 4 6 7 2 0 5 9 11 12 14 15 10 8 13
2 5 3 7 1 6 4 0 10 13 11 15 9 14 12 8
3 6 7 0 5 4 1 2 11 14 15 8 13 12 9 10
4 2 6 5 3 0 7 1 12 10 14 13 11 8 15 9
5 7 1 4 0 3 2 6 13 15 9 12 8 11 10 14
6 0 5 1 2 7 3 4 14 8 13 9 10 15 11 12
7 4 0 2 6 1 5 3 15 12 8 10 14 9 13 11
8 9 10 11 12 13 14 15 0 1 2 3 4 5 6 7
9 11 12 14 15 10 8 13 1 3 4 6 7 2 0 5
10 13 11 15 9 14 12 8 2 5 3 7 1 6 4 0
11 14 15 8 13 12 9 10 3 6 7 0 5 4 1 2
12 10 14 13 11 8 15 9 4 2 6 5 3 0 7 1
13 15 9 12 8 11 10 14 5 7 1 4 0 3 2 6
14 8 13 9 10 15 11 12 6 0 5 1 2 7 3 4
15 12 8 10 14 9 13 11 7 4 0 2 6 1 5 3
