24
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 3 4 6 7 8 0 11 12 13 14 2 16 17 18 19 5 21 22 23 15 9 10 20
2 5 0 9 10 1 14 15 11 3 4 8 20 16 6 7 13 23 21 22 12 18 19 17
3 6 7 0 11 12 1 2 16 17 18 4 5 21 22 23 8 9 10 20 19 13 14 15
4 8 1 13 14 3 18 19 2 6 7 12 15 5 0 11 17 20 9 10 16 22 23 21
5 9 10 14 15 11 2 8 20 16 6 0 13 23 21 22 1 18 19 17 7 3 4 12
6 0 11 1 2 16 3 4 5 21 22 7 8 9 10 20 12 13 14 15 23 17 18 19
7 12 3 17 18 6 22 23 4 0 11 16 19 8 1 2 21 15 13 14 5 10 20 9
8 13 14 18 19 2 4 12 15 5 0 1 17 20 9 10 3 22 23 21 11 6 7 16
9 14 15 2 8 20 5 0 13 23 21 10 1 18 19 17 11 3 4 12 22 16 6 7
10 11 5 16 6 9 21 22 0 14 15 20 7 1 2 8 23 12 3 4 13 19 17 18
11 16 6 21 22 0 10 20 7 1 2 5 23 12 3 4 9 19 17 18 8 14 15 13
12 17 18 22 23 4 7 16 19 8 1 3 21 15 13 14 6 10 20 9 2 0 11 5
13 18 19 4 12 15 8 1 17 20 9 14 3 22 23 21 2 6 7 16 10 5 0 11
14 2 8 5 0 13 9 10 1 18 19 15 11 3 4 12 20 16 6 7 17 23 21 22
15 20 9 23 21 14 19 17 10 2 8 13 22 11 5 0 18 7 16 6 1 4 12 3
16 21 22 10 20 7 11 5 23 12 3 6 9 19 17 18 0 14 15 13 4 1 2 8
17 22 23 7 16 19 12 3 21 15 13 18 6 10 20 9 4 0 11 5 14 8 1 2
18 4 12 8 1 17 13 14 3 22 23 19 2 6 7 16 15 5 0 11 21 20 9 10
19 15 13 20 9 18 23 21 14 4 12 17 10 2 8 1 22 11 5 0 3 7 16 6
20 23 21 19 17 10 15 13 22 11 5 9 18 7 16 6 14 4 12 3 0 2 8 1
21 10 20 11 5 23 16 6 9 19 17 22 0 14 15 13 7 1 2 8 18 12 3 4
22 7 16 12 3 21 17 18 6 10 20 23 4 0 11 5 19 8 1 2 9 15 13 14
23 19 17 15 13 22 20 9 18 7 16 21 14 4 12 3 10 2 8 1 6 11 5 0
