64
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
1 0 4 5 2 3 9 10 11 6 7 8 17 18 19 20 21 12 13 14 15 16 28 29 30 31 32 33 22 23 24 25 26 27 41 42 43 44 45 46 47 34 35 36 37 38 39 40 54 55 56 57 58 59 48 49 50 51 52 53 62 63 60 61
2 6 0 7 12 13 1 3 14 17 22 23 4 5 8 24 25 9 28 34 35 36 10 11 15 16 37 38 18 41 48 49 50 47 19 20 21 26 27 51 52 29 54 55 60 58 59 33 30 31 32 39 40 61 42 43 62 63 45 46 44 53 56 57
3 5 8 0 11 1 15 16 2 20 21 4 26 27 25 6 7 32 33 31 9 10 39 40 38 14 12 13 46 47 45 19 17 18 53 43 42 52 24 22 23 59 36 35 58 30 28 29 57 56 55 54 37 34 51 50 49 48 44 41 63 62 61 60
4 9 1 10 17 18 0 5 19 12 28 29 2 3 11 30 31 6 22 41 42 43 7 8 20 21 44 45 13 34 54 55 56 40 14 15 16 32 33 57 58 23 48 49 62 52 53 27 24 25 26 46 47 63 35 36 60 61 38 39 37 59 50 51
5 3 11 1 8 0 20 21 4 15 16 2 32 33 31 9 10 26 27 25 6 7 46 47 45 19 17 18 39 40 38 14 12 13 59 36 35 58 30 28 29 53 43 42 52 24 22 23 51 50 49 48 44 41 57 56 55 54 37 34 61 60 63 62
6 2 12 13 0 7 17 22 23 1 3 14 9 28 34 35 36 4 5 8 24 25 18 41 48 49 50 47 10 11 15 16 37 38 29 54 55 60 58 59 33 19 20 21 26 27 51 52 42 43 62 63 45 46 30 31 32 39 40 61 56 57 44 53
7 13 14 2 23 6 24 25 0 35 36 12 37 38 16 1 3 50 47 49 17 22 51 52 27 8 4 5 59 33 58 34 9 28 61 55 54 40 15 10 11 46 21 20 45 48 18 41 63 62 43 42 26 19 39 32 31 30 60 29 57 56 53 44
8 15 3 16 26 27 5 0 25 32 39 40 11 1 2 38 14 20 46 53 43 42 21 4 6 7 52 24 33 59 57 56 55 29 31 9 10 12 13 54 37 47 51 50 63 44 41 18 45 19 17 22 23 62 36 35 61 60 30 28 58 34 49 48
9 4 17 18 1 10 12 28 29 0 5 19 6 22 41 42 43 2 3 11 30 31 13 34 54 55 56 40 7 8 20 21 44 45 23 48 49 62 52 53 27 14 15 16 32 33 57 58 35 36 60 61 38 39 24 25 26 46 47 63 50 51 37 59
10 18 19 4 29 9 30 31 1 42 43 17 44 45 21 0 5 56 40 55 12 28 57 58 33 11 2 3 53 27 52 41 6 22 63 49 48 47 20 7 8 39 16 15 38 54 13 34 61 60 36 35 32 14 46 26 25 24 62 23 51 50 59 37
11 20 5 21 32 33 3 1 31 26 46 47 8 0 4 45 19 15 39 59 36 35 16 2 9 10 58 30 27 53 51 50 49 23 25 6 7 17 18 48 44 40 57 56 61 37 34 13 38 14 12 28 29 60 43 42 63 62 24 22 52 41 55 54
