key,status,identifier,official_record,notes
Turing1952,VERIFIED,10.1098/rstb.1952.0012,Royal Society,metadata checked 15 Aug 2026
Satnoianu2000,VERIFIED,10.1007/s002850000056,Springer/PubMed,metadata checked 15 Aug 2026
HaasGoldstein2021,VERIFIED,10.1103/PhysRevLett.126.238101,American Physical Society,metadata and scope rechecked 16 Aug 2026
Anma2012,VERIFIED,10.2996/kmj/1341401049,Project Euclid,metadata checked 15 Aug 2026
MinchevaCraciun2013,VERIFIED,10.3934/mbe.2013.10.1207,AIMS,metadata checked 15 Aug 2026
Diego2018,VERIFIED,10.1103/PhysRevX.8.021071,APS,metadata checked 15 Aug 2026
Scholes2019,VERIFIED,10.1016/j.cels.2019.07.007,Cell Press,metadata checked 15 Aug 2026
VillarChampneys2023,VERIFIED,10.1007/s00285-023-01870-3,Springer,metadata checked 15 Aug 2026
VillarCorrection2023,VERIFIED,10.1007/s00285-023-01884-x,Springer,metadata checked 15 Aug 2026
VassenaStadler2024,VERIFIED,10.1098/rspa.2023.0694,Royal Society,metadata checked 15 Aug 2026
Piskovsky2025,VERIFIED,10.1016/j.aml.2024.109269,Elsevier,metadata checked 15 Aug 2026
Waters2024,VERIFIED,10.1098/rsif.2023.0490,Royal Society,metadata checked 15 Aug 2026
Waters2025,VERIFIED,10.1016/j.physd.2024.134427,Elsevier/Bath,metadata checked 15 Aug 2026
Paul2024,VERIFIED,10.1038/s41467-024-52591-0,Nature,metadata checked 15 Aug 2026
Krause2024,VERIFIED,10.1007/s11538-023-01250-4,Springer,metadata checked 15 Aug 2026
ConradiMinchevaUecker2026,VERIFIED,arXiv:2605.16049,arXiv v1,submitted 15 May 2026; metadata rechecked 16 Aug 2026
CrandallRabinowitz1971,VERIFIED,10.1016/0022-1236(71)90015-2,Elsevier,metadata checked 15 Aug 2026
Kato1995,VERIFIED,10.1007/978-3-642-66282-9,Springer,metadata checked 15 Aug 2026
Henry1981,VERIFIED,10.1007/BFb0089647,Springer,metadata checked 15 Aug 2026
Kielhoefer2012,VERIFIED,10.1007/978-1-4614-0502-3,Springer,metadata checked 15 Aug 2026
Marcon2016,VERIFIED,10.7554/eLife.14022,eLife,metadata checked 15 Aug 2026
