m,mu,modes,precision,predicted_amplitude,measured_amplitude,relative_error,minimum_concentration
3,0.0025,16,base,0.1404274910979617,0.12704773710694103,0.0952787369937914,0.826809596155685
3,0.005,16,base,0.19859446244076454,0.18226991402833576,0.08220042095734648,0.7566360671697359
3,0.005,32,spatial-fine,0.19859446244076454,0.1822699257873022,0.08220036174639822,0.756636052565485
3,0.005,16,time-tight,0.19859446244076454,0.1822698927164779,0.08220052827080125,0.7566360936407907
3,0.01,16,base,0.2808549821959234,0.25963542506206944,0.07555342963099475,0.6634885858819616
5,0.0025,16,base,0.13384430746522757,0.11755906525664304,0.12167302828934579,0.8387753748675899
5,0.005,16,base,0.18928443486375934,0.1675046723280654,0.11506367415456159,0.7749444887040754
5,0.005,32,spatial-fine,0.18928443486375934,0.16750470557219888,0.11506349852399007,0.7749444471378879
5,0.005,16,time-tight,0.18928443486375934,0.16750467429636343,0.1150636637559357,0.7749444862448444
5,0.01,16,base,0.26768861493045515,0.23866901203113217,0.10840805802242358,0.6886411051078831
8,0.005,16,base,0.1873353104271422,0.16374190865790386,0.1259420966364704,0.7795902318412572
