m,d_min,d_max,diffusion_ratio,m_eta,minus_m_c,amplitude_ratio
3,0.017857142857142856,21.0,1176.0,0.31629103957024,0.1853985083449431,1.7060063880436669
4,0.006696428571428571,21.0,3136.0,0.22824701232648856,0.13320084444286498,1.7135552952473405
5,0.0044444444444444444,21.0,4725.0,0.1955740897712389,0.11399109307990823,1.7156962398293756
6,0.0033259423503325942,21.0,6314.0,0.17853486530888105,0.10399876853088579,1.7167017247503211
7,0.002657218777679362,21.0,7903.0,0.1680749006328203,0.09787246488948,1.7172848443391573
8,0.0022123893805309734,21.0,9492.0,0.16100025242340743,0.09373202689360786,1.717665324853729
9,0.0018951358180669614,21.0,11081.0,0.15589637804785175,0.09074647836031635,1.717933090790062
10,0.0016574585635359116,21.0,12670.0,0.15204046596688703,0.08849173923589143,1.7181317406542829
11,0.0014727540500736377,21.0,14259.0,0.14902466668878858,0.08672872647504466,1.7182849644594858
12,0.001325088339222615,21.0,15848.0,0.14660139186881746,0.08531239345369897,1.7184067394426281
13,0.0012043356081894822,21.0,17437.0,0.14461163899991908,0.08414963471454395,1.7185058436733205
14,0.0011037527593818985,21.0,19026.0,0.1429486250102947,0.08317794574202379,1.718588067246209
15,0.0010186757215619694,21.0,20615.0,0.1415379755549814,0.08235380530202886,1.7186573836618388
16,0.0009457755359394704,21.0,22204.0,0.14032629705501395,0.08164597712821861,1.7187166103069904
17,0.00088261253309797,21.0,23793.0,0.1392742658349779,0.08103146091449984,1.7187678003477291
18,0.000827357970215113,21.0,25382.0,0.1383522800691066,0.08049294570982093,1.7188124853557976
19,0.0007786140669608098,21.0,26971.0,0.1375376302944527,0.0800171532016349,1.7188518310301817
20,0.0007352941176470588,21.0,28560.0,0.13681260377114418,0.07959372805963215,1.7188867402798782
21,0.0006965405154399814,21.0,30149.0,0.13616318186204326,0.07921447558079346,1.7189179233177647
22,0.0006616674018526688,21.0,31738.0,0.13557812472187653,0.0788728261067679,1.7189459464575072
23,0.000630119722747322,21.0,33327.0,0.135048315287136,0.0785634512313162,1.7189712667982229
24,0.0006014434643143544,21.0,34916.0,0.13456628072981192,0.07828198387242587,1.7189942573390977
25,0.0005752636625119846,21.0,36505.0,0.13412583778254134,0.07802481083083732,1.719015225468916
26,0.0005512679162072767,21.0,38094.0,0.13372182607424687,0.07778891684238153,1.7190344267834254
27,0.0005291938613512083,21.0,39683.0,0.1333499050090137,0.07757176580365069,1.7190520755521845
28,0.0005088195386702849,21.0,41272.0,0.13300639719771118,0.07737120922810287,1.7190683527458743
29,0.0004899559039686428,21.0,42861.0,0.13268816645283638,0.07718541491724212,1.7190834122625898
30,0.00047244094488188977,21.0,44450.0,0.13239252176081198,0.07701281082375827,1.7190973858075207
31,0.00045613501596472556,21.0,46039.0,0.13211714099988836,0.07685204046108565,1.7191103867539654
32,0.0004409171075837742,21.0,47628.0,0.1318600098237426,0.0767019271804815,1.7191225132254213
33,0.00042668183757644715,21.0,49217.0,0.1316193723059743,0.07656144532426402,1.71913385057611
34,0.00041333700744006614,21.0,50806.0,0.13139369078715085,0.0764296967590461,1.7191444734026018
35,0.0004008016032064128,21.0,52395.0,0.13118161298290423,0.07630589165363771,1.7191544471867848
36,0.00038900414937759333,21.0,53984.0,0.13098194486600717,0.07618933263208999,1.7191638296466611
37,0.0003778813452575891,21.0,55573.0,0.13079362817352294,0.0760794016301363,1.719172671853842
38,0.0003673769287288758,21.0,57162.0,0.13061572164417035,0.07597554893185648,1.7191810191634336
39,0.00035744072441320146,21.0,58751.0,0.13044738528359331,0.07587728397598918,1.7191889119920587
40,0.00034802784222737816,21.0,60340.0,0.1302878671023852,0.07578416760736563,1.7191963864721822
41,0.00033909799932180403,21.0,61929.0,0.13013649188507273,0.07569580551521826,1.7192034750050906
42,0.00033061494379545955,21.0,63518.0,0.12999265163622895,0.07561184265154583,1.7192102067303785
43,0.00032254596279969894,21.0,65107.0,0.1298557974186238,0.07553195846290445,1.719216607926287
44,0.00031486146095717883,21.0,66696.0,0.12972543235239323,0.07545586280060393,1.7192227023524926
45,0.00030753459764223473,21.0,68285.0,0.12960110558700919,0.07538329239930956,1.7192285115447705
46,0.00030054097375275494,21.0,69874.0,0.1294824070919151,0.07531400783397162,1.7192340550692342
47,0.0002938583602703497,21.0,71463.0,0.1293689631389851,0.07524779088095854,1.7192393507424801
48,0.0002874664622460713,21.0,73052.0,0.12926043237193793,0.07518444222211236,1.7192444148228498
49,0.0002813467129325706,21.0,74641.0,0.12915650237561993,0.07512377944083862,1.7192492621771391
50,0.0002754820936639118,21.0,76230.0,0.1290568866725303,0.07506563526779372,1.7192539064263546
51,0.0002698569758028245,21.0,77819.0,0.12896132208577726,0.07500985604063734,1.7192583600735238
52,0.00026445698166431596,21.0,79408.0,0.12886956641734798,0.07495630034798291,1.7192626346160893
53,0.00025926886180969663,21.0,80997.0,0.1287813963985656,0.07490483783234896,1.7192667406450095
54,0.00025428038650618747,21.0,82586.0,0.1286966058762188,0.07485534813077761,1.7192706879323667
55,0.0002494802494802495,21.0,84175.0,0.12861500420334274,0.07480771993499631,1.719274485509008
56,0.0002448579823702253,21.0,85764.0,0.12853641480820946,0.07476185015567552,1.719278141733517
57,0.00024040387851590673,21.0,87353.0,0.12846067391892133,0.07471764317757497,1.7192816643536244
58,0.00023610892491736187,21.0,88942.0,0.12838762942421858,0.07467501019425206,1.7192850605610084
59,0.00023196474135931338,21.0,90531.0,0.12831713985382556,0.0746338686125909,1.719288337040299
60,0.00022796352583586625,21.0,92120.0,0.1282490734639533,0.07459414151875018,1.7192915000129907
61,0.0002240980055277508,21.0,93709.0,0.12818330741551962,0.07455575719826409,1.7192945552768684
62,0.00022036139268400177,21.0,95298.0,0.1281197270343025,0.07451864870399627,1.7192975082414734
63,0.00021674734484502565,21.0,96887.0,0.12805822514365162,0.0744827534664711,1.7193003639600661
64,0.00021324992891669036,21.0,98476.0,0.12799870146159012,0.07444801294181061,1.7193031271584822
65,0.0002098635886673662,21.0,100065.0,0.12794106205517197,0.07441437229311043,1.7193058022612284
66,0.0002065831152733783,21.0,101654.0,0.1278852188458504,0.07438178010160673,1.7193083934151228
67,0.0002034036205844464,21.0,103243.0,0.1278310891603792,0.07435018810443454,1.7193109045107424
68,0.00020032051282051281,21.0,104832.0,0.1277785953224299,0.07431955095616442,1.7193133392019149
69,0.00019732947444583307,21.0,106421.0,0.12772766428068374,0.07428982601163961,1.7193157009234559
70,0.00019442644199611146,21.0,108010.0,0.12767822726965186,0.07426097312792625,1.7193179929073372
71,0.00019160758766047136,21.0,109599.0,0.12763021949991346,0.0742329544834427,1.7193202181974419
72,0.00018886930244270964,21.0,111188.0,0.1275835798748369,0.07420573441255415,1.7193223796630503
73,0.0001862081807460741,21.0,112777.0,0.12753825073117947,0.07417927925411143,1.719324480011183
74,0.0001836210062431142,21.0,114366.0,0.12749417760125029,0.07415355721258159,1.7193265217979108
75,0.00018110473890733475,21.0,115955.0,0.12745130899457338,0.07412853823056569,1.7193285074387306
76,0.00017865650309671272,21.0,117544.0,0.127409596197211,0.07410419387162898,1.7193304392180988
77,0.00017627357659086903,21.0,119133.0,0.1273689930871028,0.0740804972124834,1.7193323192981984
78,0.0001739533804940276,21.0,120722.0,0.1273294559639491,0.07405742274366266,1.7193341497270118
79,0.0001716934699250272,21.0,122311.0,0.12729094339231922,0.07403494627791987,1.7193359324457616
80,0.00016949152542372882,21.0,123900.0,0.1272534160568007,0.07401304486565594,1.719337669295778
81,0.00016734534501031963,21.0,125489.0,0.12721683662812502,0.07399169671675722,1.719339362024843
82,0.00016525283684036576,21.0,127078.0,0.12718116963931114,0.07397088112828287,1.7193410122930557
83,0.00016321201240411296,21.0,128667.0,0.12714638137096376,0.07395057841749725,1.719342621678264
84,0.00016122098022355977,21.0,130256.0,0.1271124397449456,0.07393076985979227,1.719344191681095
85,0.00015927794000530925,21.0,131845.0,0.12707931422571983,0.07391143763108796,1.719345723729623
86,0.00015738117721120554,21.0,133434.0,0.12704697572872414,0.0738925647543389,1.719347219183701
87,0.00015552905801233865,21.0,135023.0,0.12701539653519922,0.0738741350498091,1.7193486793389867
88,0.00015372002459520392,21.0,136612.0,0.12698455021294675,0.07385613308880909,1.719350105430687
89,0.000151952590791673,21.0,138201.0,0.12695441154254133,0.07383854415061736,1.719351498637042
90,0.00015022533800701052,21.0,139790.0,0.12692495644856314,0.07382135418233322,1.7193528600825716
91,0.00014853691142248848,21.0,141379.0,0.12689616193545708,0.07380454976143096,1.7193541908411036
92,0.00014688601645123384,21.0,142968.0,0.12686800602765988,0.07378811806080571,1.7193554919385974
93,0.00014527141542782431,21.0,144557.0,0.12684046771366667,0.07377204681611961,1.7193567643557819
94,0.00014369192451384232,21.0,146146.0,0.12681352689373845,0.0737563242952736,1.7193580090306213
95,0.00014214641080312722,21.0,147735.0,0.12678716433097695,0.07374093926984514,1.719359226860621
96,0.00014063378961185074,21.0,149324.0,0.1267613616055161,0.07372588098834579,1.719360418704985
