'Bell.ConeCircuits.weights_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.weights_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.weights_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.balance_sideSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.mass_sideSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSum_equal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSum_time_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSupport_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_relation_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_support_le_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.future_nonnegative_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.future_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSum_future' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_singleton_other_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.side_card_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_side_card_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.all_weights_map_into' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.outcomeVector_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.coarsening_refined_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.binaryRefinedProjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.binary_circuit_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.circuit_section_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
