'Bell.strategy_has_gram_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPOVM_eq_gram_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPVM_eq_gram_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.trace_gram_norms' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramValid_subset_box' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramValid_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramProjective_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPOVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPOVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPVM_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.counterexample_has_extreme_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
