'Bell.witness_mem_raw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.gram_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.coefficient_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell02_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell02_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell01_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell01_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.projective_strategy_rational_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.projective_global_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.three_by_two_separation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_margin_over_projective' depends on axioms: [propext, Classical.choice, Quot.sound]
