'Bell.two_three_ordering' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.no_two_input_extreme_separator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.two_input_convex_equality' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.universal_two_input_equality' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.at_most_two_input_equality' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.main_claims' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.minimum_inputs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.minimum_inputs_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.no_two_input_strict_separation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.main_claims_with_strengthening' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.binary_span_sum_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.binary_bob_simulation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_binary_bob_simulation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.outcomeVector_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.coarsening_refined_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.binary_circuit_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.circuit_section_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.total_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.total_mass_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.pin_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.conditional_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.weight_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.weight_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.entry_zero_of_marginal_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.reconstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.FullPureStrategy.reduced_definite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.FullPureStrategy.steered_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.FullPureStrategy.steered_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.FullPureStrategy.behavior_steered' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.FullPureStrategy.filteredTable_mem_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_common_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_common_span_scalar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.weights_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.weights_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.weights_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.balance_sideSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.mass_sideSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSum_equal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSum_time_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSupport_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_relation_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_support_le_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.future_nonnegative_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.future_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.sideSum_future' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_singleton_other_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.side_card_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.extreme_side_card_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ConeCircuits.all_weights_map_into' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.dot_self_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.normalizeVector_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.exists_unit_annihilator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.compress_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.compress_orthogonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.compress_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.compress_future' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.compress_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.normalHyperplane_dim_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.exists_spatial_unit_perpendicular' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.radius_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.radius_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.radius_le_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.splitDirection_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.splitDirection_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.radius_direction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.nullPiece_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.nullPiece_null_or_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.nullPiece_in_plane' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.finite_mixture_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.linear_bound_on_convexHull' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.filtering_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.binary_spectral_weights' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.reset_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.reset_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.reset_idempotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.compatibility_reset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.compatibility_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.stationary_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.multipliers_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.DeterministicGap.multiplier_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.reconstruction_alice_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ClassicalProduct.reconstruction_with_deterministic_input' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Bell.otherInput_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.eq_otherInput_of_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.born_deterministic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.replacement_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.replaceBobInput_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.replaceBobRay_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strict_gap_to_deterministic_replacements' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_dual_slack0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_dual_slack1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_dual_slack2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_dual_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_complementarity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_discrimination_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ideal_discrimination_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
