alice_input,bob_input,alice_output,bob_output,exact_probability
0,0,0,0,sqrt(2)/8 + 1/4
0,0,0,1,1/4 - sqrt(2)/8
0,0,1,0,1/4 - sqrt(2)/8
0,0,1,1,sqrt(2)/8 + 1/4
0,0,2,0,0
0,0,2,1,0
0,1,0,0,sqrt(2)/8 + 1/4
0,1,0,1,1/4 - sqrt(2)/8
0,1,1,0,1/4 - sqrt(2)/8
0,1,1,1,sqrt(2)/8 + 1/4
0,1,2,0,0
0,1,2,1,0
1,0,0,0,sqrt(2)/8 + 1/4
1,0,0,1,1/4 - sqrt(2)/8
1,0,1,0,1/4 - sqrt(2)/8
1,0,1,1,sqrt(2)/8 + 1/4
1,0,2,0,0
1,0,2,1,0
1,1,0,0,1/4 - sqrt(2)/8
1,1,0,1,sqrt(2)/8 + 1/4
1,1,1,0,sqrt(2)/8 + 1/4
1,1,1,1,1/4 - sqrt(2)/8
1,1,2,0,0
1,1,2,1,0
2,0,0,0,8/25
2,0,0,1,1/50
2,0,1,0,1/50
2,0,1,1,8/25
2,0,2,0,4/25
2,0,2,1,4/25
2,1,0,0,9/100
2,1,0,1,1/4
2,1,1,0,9/100
2,1,1,1,1/4
2,1,2,0,8/25
2,1,2,1,0
