'Bell.StochasticFamily.nonempty_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticFamily.weight_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticFamily.weight_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticFamily.reconstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticFamily.weight_zero_of_entry_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticFamily.weight_empty_source' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticChannel.nonempty_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticChannel.exists_of_empty_source' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticChannel.no_channel_to_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticChannel.decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.weight_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.weight_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.joint_reconstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.behavior_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.deterministic_branch_mem_rawPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StochasticProcessing.rawPVM_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
