index,ordinal,record_id,year,doi,arxiv,title,oa_url,screening
openalex_fmu,1,https://openalex.org/W2088029700,2014,https://doi.org/10.1016/j.difgeo.2014.01.001,,Curvature of Hessian manifolds,https://www.sciencedirect.com/science/article/pii/S0926224514000023/pdf,title screened
openalex_fmu,2,https://openalex.org/W3094764150,2020,https://doi.org/10.1140/epjp/s13360-020-00877-9,,Dually flat structures induced from monotone metrics on a two-level quantum state space,https://link.springer.com/content/pdf/10.1140/epjp/s13360-020-00877-9.pdf,title screened
openalex_fmu,3,https://openalex.org/W2737860289,2017,https://doi.org/10.1016/j.anihpc.2017.07.003,,Hessian surfaces and local Lagrangian embeddings,,title screened
openalex_kurose,1,https://openalex.org/W2888146396,2020,https://doi.org/10.3390/e22101100,,An Elementary Introduction to Information Geometry,https://doi.org/10.3390/e22101100,title screened
openalex_kurose,2,https://openalex.org/W2110861437,2004,https://doi.org/10.1162/08997660460734047,,"Divergence Function, Duality, and Convex Analysis",,title screened
openalex_kurose,3,https://openalex.org/W2618472290,2019,https://doi.org/10.5507/prf.19.24455358,,Differential Geometry of Special Mappings,,title screened
openalex_kurose,4,https://openalex.org/W602944961,2003,https://doi.org/10.1007/978-1-4613-0247-6,,Advances in Mechanics and Mathematics,,title screened
openalex_kurose,5,https://openalex.org/W2066137238,2011,https://doi.org/10.3390/e13061170,,Geometry of q-Exponential Family of Probability Distributions,https://www.mdpi.com/1099-4300/13/6/1170/pdf?version=1424784813,title screened
openalex_kurose,6,https://openalex.org/W2156061307,2008,https://doi.org/10.1007/978-3-540-69393-2,,Information Geometry: Near Randomness and Near Independence,,title screened
openalex_kurose,7,https://openalex.org/W2018422625,2012,https://doi.org/10.1016/j.physa.2012.04.016,,"Geometry of deformed exponential families: Invariant, dually-flat and conformal geometries",https://pure.teikyo.jp/en/publications/21a0893a-63cc-4cd7-aee6-175439ab8773,title screened
openalex_kurose,8,https://openalex.org/W2193424816,2015,https://doi.org/10.3390/e17127866,,A Novel Approach to Canonical Divergences within Information Geometry,https://www.mdpi.com/1099-4300/17/12/7866/pdf?version=1449658890,title screened
openalex_kurose,9,https://openalex.org/W2068889624,2007,https://doi.org/10.1016/j.physleta.2007.05.104,,Geometry of distributions associated with Tsallis statistics and properties of relative entropy minimization,,title screened
openalex_kurose,10,https://openalex.org/W2955697456,2019,https://doi.org/10.2969/aspm/05710303,,Statistical manifolds and affine differential geometry,,title screened
openalex_kurose,11,https://openalex.org/W2081728937,2013,https://doi.org/10.3390/e15125384,,Nonparametric Information Geometry: From Divergence Function to Referential-Representational Biduality on Statistical Manifolds,https://doi.org/10.3390/e15125384,title screened
openalex_kurose,12,https://openalex.org/W2030533745,1998,https://doi.org/10.14492/hokmj/1351001292,,On realization of conformally-projectively flat statistical manifolds and the divergences,https://projecteuclid.org/journals/hokkaido-mathematical-journal/volume-27/issue-2/On-realization-of-conformally-projectively-flat-statistical-manifolds-and-the/10.14492/hokmj/1351001292.pdf,title screened
openalex_kurose,13,https://openalex.org/W2051343356,2014,https://doi.org/10.1016/j.difgeo.2014.06.003,,Hessian structures on deformed exponential families and their conformal structures,https://www.sciencedirect.com/science/article/pii/S0926224514000886/pdf,title screened
openalex_kurose,14,https://openalex.org/W4211152522,2019,https://doi.org/10.5507/prf.19.24455365,,Differential Geometry of Special Mappings,,title screened
openalex_kurose,15,https://openalex.org/W4405319069,2024,https://doi.org/10.1088/1475-7516/2024/12/034,,Length-preserving biconnection gravity and its cosmological implications,,title screened
openalex_kurose,16,https://openalex.org/W1985821416,2010,https://doi.org/10.1088/1742-6596/201/1/012012,,A dually flat structure on the space of escort distributions,https://iopscience.iop.org/article/10.1088/1742-6596/201/1/012012/pdf,title screened
openalex_kurose,17,https://openalex.org/W1532573874,2015,https://doi.org/10.3390/e17085729,,Deformed Algebras and Generalizations of Independence on Deformed Exponential Families,https://www.mdpi.com/1099-4300/17/8/5729/pdf?version=1439195122,title screened
openalex_kurose,18,https://openalex.org/W2135841622,2009,https://doi.org/10.1140/epjb/e2009-00170-y,,Geometric study for the Legendre duality of generalized entropies and its application to the porous medium equation,https://arxiv.org/pdf/0904.1530,title screened
openalex_kurose,19,https://openalex.org/W2066922016,2015,https://doi.org/10.1016/j.physa.2015.03.023,,Dually flat geometries of the deformed exponential family,,title screened
openalex_kurose,20,https://openalex.org/W4383197106,2023,https://doi.org/10.1016/j.physa.2023.129017,,Informative fractal dimension associated with nonmetricity in information geometry,https://doi.org/10.1016/j.physa.2023.129017,title screened
openalex_kurose,21,https://openalex.org/W3175465654,2021,,,Towards a Canonical Divergence within Information Geometry,,title screened
openalex_kurose,22,https://openalex.org/W2264074518,2005,,,Topics in Information Geometry,,title screened
openalex_kurose,23,https://openalex.org/W2766869245,2017,https://doi.org/10.1007/978-3-319-68445-1_26,,A Sequential Structure of Statistical Manifolds on Deformed Exponential Family,https://nitech.repo.nii.ac.jp/records/6551,title screened
openalex_kurose,24,https://openalex.org/W1992840719,2002,https://doi.org/10.4036/iis.2002.89,,Conformal-Projective Geometry of Statistical Manifolds,https://www.jstage.jst.go.jp/article/iis/8/1/8_1_89/_pdf,title screened
openalex_kurose,25,https://openalex.org/W1512660147,1999,https://doi.org/10.32917/hmj/1206125160,,Geometry of contrast functions and conformal geometry,https://projecteuclid.org/journals/hiroshima-mathematical-journal/volume-29/issue-1/Geometry-of-contrast-functions-and-conformal-geometry/10.32917/hmj/1206125160.pdf,title screened
openalex_kurose,26,https://openalex.org/W2026987897,2012,https://doi.org/10.1142/s0217984912500637,,CONFORMAL GEOMETRY OF ESCORT PROBABILITY AND ITS APPLICATIONS,https://teikyo-u.repo.nii.ac.jp/records/2009914,title screened
openalex_kurose,27,https://openalex.org/W2561819439,2016,https://doi.org/10.3390/e19010007,,A Sequence of Escort Distributions and Generalizations of Expectations on q-Exponential Family,https://www.mdpi.com/1099-4300/19/1/7/pdf?version=1482888790,title screened
openalex_kurose,28,https://openalex.org/W9756691,2014,https://doi.org/10.1007/978-3-319-05317-2_3,,Hessian Structures and Divergence Functions on Deformed Exponential Families,,title screened
openalex_kurose,29,https://openalex.org/W1995728449,2013,https://doi.org/10.1007/s10455-013-9390-0,,A five-dimensional Riemannian manifold with an irreducible SO(3)-structure as a model of abstract statistical manifold,https://link.springer.com/content/pdf/10.1007/s10455-013-9390-0.pdf,title screened
openalex_kurose,30,https://openalex.org/W1972151645,2007,https://doi.org/10.1007/s10958-007-0488-4,,Dual symmetric statistical manifolds,,title screened
openalex_kurose,31,https://openalex.org/W2901705192,2018,https://doi.org/10.1007/978-3-030-02520-5_3,,Statistical Manifolds Admitting Torsion and Partially Flat Spaces,,title screened
openalex_kurose,32,https://openalex.org/W2110368364,2000,https://doi.org/10.32917/hmj/1206124606,,Foliations and divergences of flat statistical manifolds,https://projecteuclid.org/journals/hiroshima-mathematical-journal/volume-30/issue-3/Foliations-and-divergences-of-flat-statistical-manifolds/10.32917/hmj/1206124606.pdf,title screened
openalex_kurose,33,https://openalex.org/W2781889729,2018,https://doi.org/10.1007/s41884-018-0012-6,,Logarithmic divergences from optimal transport and Rényi geometry,https://arxiv.org/pdf/1712.03610,title screened
openalex_kurose,34,https://openalex.org/W2969514515,2019,https://doi.org/10.1007/978-3-030-26980-7_43,,Logarithmic Divergences: Geometry and Interpretation of Curvature,,title screened
openalex_kurose,35,https://openalex.org/W4212840680,2017,https://doi.org/10.3390/books978-3-03842-425-3,,Differential Geometrical Theory of Statistics,https://mdpi-res.com/bookfiles/book/313/Differential_Geometrical_Theory_of_Statistics.pdf,title screened
openalex_kurose,36,https://openalex.org/W2791591961,2018,https://doi.org/10.3390/e20030186,,Conformal Flattening for Deformed Information Geometries on the Probability Simplex †,https://www.mdpi.com/1099-4300/20/3/186/pdf?version=1521075086,title screened
openalex_kurose,37,https://openalex.org/W4210290955,2022,https://doi.org/10.3390/e24020193,,λ-Deformation: A Canonical Framework for Statistical Manifolds of Constant Curvature,https://www.mdpi.com/1099-4300/24/2/193/pdf?version=1643291027,title screened
openalex_kurose,38,https://openalex.org/W2901861155,2018,https://doi.org/10.1007/978-3-030-02520-5_4,,Conformal Flattening on the Probability Simplex and Its Applications to Voronoi Partitions and Centroids,,title screened
openalex_kurose,39,https://openalex.org/W3037206985,2003,,,An affine embedding of the gamma manifold,https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=201902219376679137,title screened
openalex_kurose,40,https://openalex.org/W2505615175,2016,https://doi.org/10.1016/j.difgeo.2016.06.006,,Transformations and coupling relations for affine connections,https://doi.org/10.1016/j.difgeo.2016.06.006,title screened
openalex_kurose,41,https://openalex.org/W2811058830,2021,https://doi.org/10.1007/s41884-021-00047-5,,Towards a canonical divergence within information geometry,https://arxiv.org/pdf/1806.11363,title screened
openalex_kurose,42,https://openalex.org/W1545034190,2009,https://doi.org/10.1007/978-3-642-00826-9_5,,Computational Geometry from the Viewpoint of Affine Differential Geometry,,title screened
openalex_kurose,43,https://openalex.org/W2766257770,2017,https://doi.org/10.1007/978-3-319-68445-1_18,,"Statistical Manifolds Admitting Torsion, Pre-contrast Functions and Estimating Functions",,title screened
openalex_kurose,44,https://openalex.org/W3201869583,2021,https://doi.org/10.1016/bs.host.2021.06.001,,Pythagoras theorem in information geometry and applications to generalized linear models,,title screened
openalex_kurose,45,https://openalex.org/W1986706633,2015,https://doi.org/10.1063/1.4906003,,Harmonic maps relative to α-connections of statistical manifolds,,title screened
openalex_kurose,46,https://openalex.org/W2224123707,2014,https://doi.org/10.1007/978-3-319-05317-2_4,,Harmonic Maps Relative to $$\alpha $$ α -Connections,,title screened
openalex_kurose,47,https://openalex.org/W164966627,2013,https://doi.org/10.1007/978-3-642-40020-9_83,,Harmonic Maps Relative to α-Connections on Hessian Domains,,title screened
openalex_kurose,48,https://openalex.org/W4388651333,2023,https://doi.org/10.3390/math11224614,,Quasi-Statistical Schouten–van Kampen Connections on the Tangent Bundle,https://www.mdpi.com/2227-7390/11/22/4614/pdf?version=1699629548,title screened
openalex_kurose,49,https://openalex.org/W4309720022,2022,https://doi.org/10.3390/a15110435,,Generalizing the Alpha-Divergences and the Oriented Kullback–Leibler Divergences with Quasi-Arithmetic Means,https://www.mdpi.com/1999-4893/15/11/435/pdf?version=1669102989,title screened
openalex_kurose,50,https://openalex.org/W4414166457,2025,https://doi.org/10.1007/s41884-025-00172-5,,Homogeneous statistical manifolds,,title screened
openalex_kurose,51,https://openalex.org/W4409538620,2025,https://doi.org/10.1016/j.geomphys.2025.105502,,On statistical almost contact manifolds,,title screened
openalex_kurose,52,https://openalex.org/W2727676506,2017,https://doi.org/10.3390/e19070344,,α-Connections and a Symmetric Cubic Form on a Riemannian Manifold,https://www.mdpi.com/1099-4300/19/7/344/pdf?version=1499697901,title screened
openalex_kurose,53,https://openalex.org/W2112432890,2009,https://doi.org/10.1007/978-0-387-75714-8_13,,Dualistic Riemannian Manifold Structure Induced from Convex Functions,,title screened
openalex_kurose,54,https://openalex.org/W81769706,2014,https://doi.org/10.1007/978-3-319-05317-2_2,,Geometry on Positive Definite Matrices Deformed by V-Potentials and Its Submanifold Structure,,title screened
openalex_kurose,55,https://openalex.org/W2766712485,2017,https://doi.org/10.1007/978-3-319-68445-1_29,,On Affine Immersions of the Probability Simplex and Their Conformal Flattening,,title screened
openalex_kurose,56,https://openalex.org/W4310154553,2022,https://doi.org/10.3390/e24121736,,Extended Divergence on a Foliation by Deformed Probability Simplexes,https://www.mdpi.com/1099-4300/24/12/1736/pdf?version=1669639830,title screened
openalex_kurose,57,https://openalex.org/W3128259744,2021,https://doi.org/10.1016/j.difgeo.2021.101734,,Complex affine distributions,https://doi.org/10.1016/j.difgeo.2021.101734,title screened
openalex_kurose,58,https://openalex.org/W4220759266,2022,https://doi.org/10.3390/math10071061,,Conformal Control Tools for Statistical Manifolds and for γ-Manifolds,https://www.mdpi.com/2227-7390/10/7/1061/pdf?version=1648211784,title screened
openalex_kurose,59,https://openalex.org/W4361302202,2023,https://doi.org/10.3390/psf2022005053,,A Foliation by Deformed Probability Simplexes for Transition of α-Parameters,https://www.mdpi.com/2673-9984/5/1/53/pdf?version=1679984700,title screened
openalex_kurose,60,https://openalex.org/W3082429766,2020,https://doi.org/10.48550/arxiv.2008.13394,,On a constant curvature statistical manifold,https://arxiv.org/pdf/2008.13394,title screened
openalex_kurose,61,https://openalex.org/W1892514668,2012,https://doi.org/10.48550/arxiv.1212.4748,,On a Semi-symmetric Non-metric Connection Satisfying the Schur`s Theorem on a Riemannian Manifold,https://arxiv.org/pdf/1212.4748,title screened
openalex_kurose,62,https://openalex.org/W2296252967,2015,https://doi.org/10.1007/978-3-319-25040-3_36,,Transformations and Coupling Relations for Affine Connections,,title screened
openalex_kurose,63,https://openalex.org/W2564311015,2014,,,Harmonic Maps Relative to α-Connections,,title screened
