source_index	target_index	relation
0	336	equal
1	337	equal
2	338	equal
3	339	equal
4	340	equal
5	341	equal
6	342	equal
7	343	equal
8	344	equal
9	345	equal
10	346	equal
11	347	equal
12	348	equal
13	349	equal
14	350	equal
15	351	equal
16	352	equal
17	353	equal
18	354	equal
19	355	equal
20	356	equal
21	357	equal
22	358	equal
23	359	equal
24	360	equal
25	361	equal
26	362	equal
27	363	equal
28	364	equal
29	365	equal
30	366	equal
31	367	equal
32	368	equal
33	369	equal
34	370	equal
35	371	equal
36	372	equal
37	373	equal
38	374	equal
39	375	equal
40	376	equal
41	377	equal
42	378	equal
43	379	equal
44	380	equal
45	381	equal
46	382	equal
47	383	equal
48	384	equal
49	385	equal
50	386	equal
51	387	equal
52	388	equal
53	389	equal
54	390	equal
55	391	equal
56	392	equal
57	393	equal
58	394	equal
59	395	equal
60	396	equal
61	397	equal
62	398	equal
63	399	equal
64	400	equal
65	401	equal
66	402	equal
67	403	equal
68	404	equal
69	405	equal
70	406	equal
71	407	equal
72	408	equal
73	409	equal
74	410	equal
75	411	equal
76	412	equal
77	413	equal
78	414	equal
79	415	equal
80	416	equal
81	417	equal
82	418	equal
83	419	equal
84	420	equal
85	421	equal
86	422	equal
87	423	equal
88	424	equal
89	425	equal
90	426	equal
91	427	equal
92	428	equal
93	429	equal
94	430	equal
95	431	equal
96	432	equal
97	433	equal
98	434	equal
99	435	equal
100	436	equal
101	437	equal
102	438	equal
103	439	equal
104	440	equal
105	441	equal
106	442	equal
107	443	equal
108	444	equal
109	445	equal
110	446	equal
111	447	equal
112	448	equal
113	449	equal
114	450	equal
115	451	equal
116	452	equal
117	453	equal
118	454	equal
119	455	equal
120	456	equal
121	457	equal
122	458	equal
123	459	equal
124	460	equal
125	461	equal
126	462	equal
127	463	equal
128	464	equal
129	465	equal
130	466	equal
131	467	equal
132	468	equal
133	469	equal
134	470	equal
135	471	equal
136	472	equal
137	473	equal
138	474	equal
139	475	equal
140	476	equal
141	477	equal
142	478	equal
143	479	equal
144	480	equal
145	481	equal
146	482	equal
147	483	equal
148	484	equal
149	485	equal
150	486	equal
151	487	equal
152	488	equal
153	489	equal
154	490	equal
155	491	equal
156	492	equal
157	493	equal
158	494	equal
159	495	equal
160	496	equal
161	497	equal
162	498	equal
163	499	equal
164	500	equal
165	501	equal
166	502	equal
167	503	equal
168	504	equal
169	505	equal
170	506	equal
171	507	equal
172	508	equal
173	509	equal
174	510	equal
175	511	equal
176	512	equal
177	513	equal
178	514	equal
179	515	equal
180	516	equal
181	517	equal
182	518	equal
183	519	equal
184	520	equal
185	521	equal
186	522	equal
187	523	equal
188	524	equal
189	525	equal
190	526	equal
191	527	equal
192	612	equal
193	613	equal
194	614	equal
195	615	equal
196	616	equal
197	617	equal
198	618	equal
199	619	equal
200	620	equal
201	621	equal
202	622	equal
203	623	equal
204	624	equal
205	625	equal
206	626	equal
207	627	equal
208	628	equal
209	629	equal
210	630	equal
211	631	equal
212	632	equal
213	633	equal
214	634	equal
215	635	equal
216	636	equal
217	637	equal
218	638	equal
219	639	equal
220	640	equal
221	641	equal
222	642	equal
223	643	equal
224	644	equal
225	645	equal
226	646	equal
227	647	equal
228	648	equal
229	649	equal
230	650	equal
231	651	equal
232	652	equal
233	653	equal
234	654	equal
235	655	equal
236	656	equal
237	657	equal
238	658	equal
239	659	equal
240	660	equal
241	661	equal
242	662	equal
243	663	equal
244	664	equal
245	665	equal
246	666	equal
247	667	equal
248	668	equal
249	669	equal
250	670	equal
251	671	equal
252	672	equal
253	673	equal
254	674	equal
255	675	equal
256	676	equal
257	677	equal
258	678	equal
259	679	equal
260	680	equal
261	681	equal
262	682	equal
263	683	equal
264	684	equal
265	685	equal
266	686	equal
267	687	equal
268	688	equal
269	689	equal
270	690	equal
271	691	equal
272	692	equal
273	693	equal
274	694	equal
275	695	equal
276	696	equal
277	697	equal
278	698	equal
279	699	equal
280	700	equal
281	701	equal
282	702	equal
283	703	equal
284	704	equal
285	705	equal
286	706	equal
287	707	equal
288	708	equal
289	709	equal
290	710	equal
291	711	equal
292	712	equal
293	713	equal
294	714	equal
295	715	equal
296	716	equal
297	717	equal
298	718	equal
299	719	equal
300	720	equal
301	721	equal
302	722	equal
303	723	equal
304	724	equal
305	725	equal
306	726	equal
307	727	equal
308	728	equal
309	729	equal
310	730	equal
311	731	equal
312	732	equal
313	733	equal
314	734	equal
315	735	equal
316	736	equal
317	737	equal
318	738	equal
319	739	equal
320	740	equal
321	741	equal
322	742	equal
323	743	equal
324	744	equal
325	745	equal
326	746	equal
327	747	equal
328	748	equal
329	749	equal
330	750	equal
331	751	equal
332	752	equal
333	753	equal
334	754	equal
335	755	equal
336	756	equal
337	757	equal
338	758	equal
339	759	equal
340	760	equal
341	761	equal
342	762	equal
343	763	equal
344	764	equal
345	765	equal
346	766	equal
347	767	equal
348	768	equal
349	769	equal
350	770	equal
351	771	equal
352	772	equal
353	773	equal
354	774	equal
355	775	equal
356	776	equal
357	777	equal
358	778	equal
359	779	equal
360	780	equal
361	781	equal
362	782	equal
363	783	equal
364	784	equal
365	785	equal
366	786	equal
367	787	equal
368	788	equal
369	789	equal
370	790	equal
371	791	equal
372	792	equal
373	793	equal
374	794	equal
375	795	equal
376	796	equal
377	797	equal
378	798	equal
379	799	equal
380	800	equal
381	801	equal
382	802	equal
383	803	equal
384	804	equal
385	805	equal
386	806	equal
387	807	equal
388	808	equal
389	809	equal
390	810	equal
391	811	equal
392	812	equal
393	813	equal
394	814	equal
395	815	equal
396	816	equal
397	817	equal
398	818	equal
399	819	equal
400	820	equal
401	821	equal
402	822	equal
403	823	equal
404	824	equal
405	825	equal
406	826	equal
407	827	equal
408	828	equal
409	829	equal
410	830	equal
411	831	equal
412	832	equal
413	833	equal
414	834	equal
415	835	equal
416	836	equal
417	837	equal
418	838	equal
419	839	equal
420	840	equal
421	841	equal
422	842	equal
423	843	equal
424	844	equal
425	845	equal
426	846	equal
427	847	equal
428	848	equal
429	849	equal
430	850	equal
431	851	equal
432	852	equal
433	853	equal
434	854	equal
435	855	equal
436	856	equal
437	857	equal
438	858	equal
439	859	equal
440	860	equal
441	861	equal
442	862	equal
443	863	equal
444	864	equal
445	865	equal
446	866	equal
447	867	equal
448	868	equal
449	869	equal
450	870	equal
451	871	equal
452	872	equal
453	873	equal
454	874	equal
455	875	equal
456	876	equal
457	877	equal
458	878	equal
459	879	equal
460	880	equal
461	881	equal
462	882	equal
463	883	equal
464	884	equal
465	885	equal
466	886	equal
467	887	equal
468	888	equal
469	889	equal
470	890	equal
471	891	equal
472	892	equal
473	893	equal
474	894	equal
475	895	equal
476	896	equal
477	897	equal
478	898	equal
479	899	equal
480	900	equal
481	901	equal
482	902	equal
483	903	equal
484	904	equal
485	905	equal
486	906	equal
487	907	equal
488	908	equal
489	909	equal
490	910	equal
491	911	equal
492	912	equal
493	913	equal
494	914	equal
495	915	equal
496	916	equal
497	917	equal
498	918	equal
499	919	equal
500	920	equal
501	921	equal
502	922	equal
503	923	equal
504	924	equal
505	925	equal
506	926	equal
507	927	equal
508	928	equal
509	929	equal
510	930	equal
511	931	equal
512	932	equal
513	933	equal
514	934	equal
515	935	equal
516	936	equal
517	937	equal
518	938	equal
519	939	equal
520	940	equal
521	941	equal
522	942	equal
523	943	equal
524	944	equal
525	945	equal
526	946	equal
527	947	equal
528	948	equal
529	949	equal
530	950	equal
531	951	equal
532	952	equal
533	953	equal
534	954	equal
535	955	equal
536	956	equal
537	957	equal
538	958	equal
539	959	equal
540	960	equal
541	961	equal
542	962	equal
543	963	equal
544	964	equal
545	965	equal
546	966	equal
547	967	equal
548	968	equal
549	969	equal
550	970	equal
551	971	equal
552	972	equal
553	973	equal
554	974	equal
555	975	equal
556	976	equal
557	977	equal
558	978	equal
559	979	equal
560	980	equal
561	981	equal
562	982	equal
563	983	equal
564	984	equal
565	985	equal
566	986	equal
567	987	equal
568	988	equal
569	989	equal
570	990	equal
571	991	equal
572	992	equal
573	993	equal
574	994	equal
575	995	equal
576	996	equal
577	997	equal
578	998	equal
