source_index	target_index	relation
0	549	equal
0	550	strict
0	551	strict
0	555	strict
0	556	strict
0	557	strict
0	558	strict
0	562	strict
0	563	strict
0	564	strict
0	565	strict
0	713	strict
0	848	strict
0	850	strict
0	852	strict
0	857	strict
0	858	strict
0	1176	strict
0	1593	strict
0	1611	strict
0	1669	strict
0	1672	strict
0	1718	strict
0	1725	strict
0	1727	strict
0	1728	strict
0	1793	strict
0	1826	strict
0	1827	strict
0	1828	strict
0	2297	strict
0	3870	strict
0	3992	strict
0	3994	strict
0	4012	strict
0	4013	strict
0	4027	strict
0	4773	strict
0	4780	strict
0	4781	strict
0	4782	strict
0	4783	strict
0	4801	strict
0	4818	strict
0	4820	strict
0	4821	strict
0	4822	strict
0	4853	strict
0	4897	strict
0	5512	strict
0	6140	strict
0	6940	strict
0	8084	strict
0	8131	strict
0	8133	strict
0	8187	strict
0	8188	strict
0	8189	strict
0	8191	strict
0	8195	strict
0	8310	strict
0	12510	strict
0	12511	strict
0	12518	strict
0	13227	strict
0	13855	strict
0	13934	strict
0	13940	strict
0	13941	strict
0	13944	strict
1	552	equal
1	553	strict
1	554	strict
1	555	strict
1	559	strict
1	560	strict
1	561	strict
1	562	strict
1	563	strict
1	566	strict
1	567	strict
1	719	strict
1	849	strict
1	851	strict
1	853	strict
1	862	strict
1	863	strict
1	1177	strict
1	1594	strict
1	1612	strict
1	1670	strict
1	1674	strict
1	1720	strict
1	1726	strict
1	1729	strict
1	1730	strict
1	1796	strict
1	1829	strict
1	1830	strict
1	1831	strict
1	2300	strict
1	2301	strict
1	2440	strict
1	2686	strict
1	2768	strict
1	2774	strict
1	2775	strict
1	2778	strict
1	3819	strict
1	4781	strict
1	4799	strict
1	4801	strict
1	4814	strict
1	4815	strict
1	4816	strict
1	4818	strict
1	4822	strict
1	4851	strict
1	5511	strict
1	6611	strict
1	6941	strict
1	7424	strict
1	8083	strict
1	8084	strict
1	8085	strict
1	8086	strict
1	8133	strict
1	8191	strict
1	8193	strict
1	8194	strict
1	8195	strict
1	8312	strict
1	8361	strict
1	10902	strict
1	11219	strict
1	11221	strict
1	12408	strict
1	13251	strict
1	13252	strict
1	13266	strict
2	572	equal
2	573	strict
2	576	strict
2	584	strict
2	585	strict
2	587	strict
2	588	strict
2	589	strict
2	592	strict
2	593	strict
2	595	strict
2	604	strict
2	649	strict
2	651	strict
2	654	strict
2	665	strict
2	674	strict
2	680	strict
2	681	strict
2	684	strict
2	691	strict
2	694	strict
2	695	strict
2	696	strict
2	1181	strict
2	1597	strict
2	1598	strict
2	1646	strict
2	1711	strict
2	1760	strict
2	2312	strict
2	3843	strict
2	3847	strict
2	3848	strict
2	3849	strict
2	3863	strict
2	3899	strict
2	3924	strict
2	3933	strict
2	3935	strict
2	3936	strict
2	3943	strict
2	3969	strict
2	4787	strict
2	4866	strict
2	4868	strict
2	4869	strict
2	4870	strict
2	4874	strict
2	5520	strict
2	6945	strict
2	8102	strict
2	8313	strict
2	8317	strict
2	8320	strict
2	8325	strict
2	8326	strict
2	8336	strict
2	8343	strict
2	13620	strict
2	13638	strict
2	13687	strict
2	13856	strict
2	13858	strict
2	13874	strict
