source_index	target_index	relation
0	556	equal
0	557	strict
0	563	strict
0	4773	strict
0	4897	strict
0	6140	strict
0	6940	strict
0	8084	strict
0	8131	strict
0	8133	strict
0	8187	strict
0	8188	strict
0	8189	strict
0	8191	strict
0	8195	strict
0	8310	strict
1	557	equal
1	8084	strict
1	8195	strict
2	559	equal
2	560	strict
2	562	strict
2	4781	strict
2	4799	strict
2	4801	strict
2	4814	strict
2	4815	strict
2	4816	strict
2	4818	strict
2	4822	strict
2	4851	strict
2	5511	strict
2	6611	strict
2	7424	strict
2	8361	strict
3	560	equal
3	4781	strict
3	4822	strict
4	577	equal
4	594	strict
4	595	strict
4	635	strict
4	636	strict
4	6142	strict
5	584	equal
5	585	strict
5	587	strict
5	593	strict
5	595	strict
5	649	strict
5	651	strict
5	654	strict
5	4787	strict
5	4866	strict
5	4868	strict
5	4869	strict
5	4870	strict
5	4874	strict
5	5520	strict
6	585	equal
6	593	strict
6	595	strict
6	4787	strict
6	4874	strict
7	595	equal
8	624	equal
8	670	strict
8	672	strict
8	708	strict
8	1621	strict
8	1623	strict
8	1791	strict
9	625	equal
9	626	strict
9	627	strict
9	630	strict
9	632	strict
9	680	strict
9	684	strict
9	686	strict
9	6950	strict
9	8101	strict
9	8317	strict
9	8320	strict
9	8335	strict
9	8336	strict
9	8343	strict
10	626	equal
10	627	strict
10	632	strict
10	8101	strict
10	8343	strict
11	628	equal
11	631	strict
11	632	strict
11	682	strict
11	688	strict
11	6613	strict
12	632	equal
13	633	equal
13	700	strict
13	702	strict
13	706	strict
13	1622	strict
13	1624	strict
13	1792	strict
14	634	equal
14	636	strict
14	637	strict
14	640	strict
14	646	strict
14	669	strict
14	671	strict
14	705	strict
14	6143	strict
14	6955	strict
14	8106	strict
14	8316	strict
14	8324	strict
14	8331	strict
14	8332	strict
14	8352	strict
15	635	equal
15	6142	strict
16	636	equal
17	637	equal
17	6143	strict
18	638	equal
18	649	strict
18	650	strict
18	651	strict
18	658	strict
18	674	strict
18	698	strict
18	707	strict
18	4788	strict
18	4856	strict
18	4857	strict
18	4858	strict
18	4866	strict
18	4868	strict
18	4870	strict
18	4874	strict
18	5516	strict
19	639	equal
19	652	strict
19	662	strict
19	663	strict
19	664	strict
19	676	strict
19	678	strict
19	706	strict
19	4794	strict
19	4859	strict
19	4860	strict
19	4861	strict
19	4885	strict
19	4887	strict
19	4889	strict
19	4893	strict
19	5517	strict
20	640	equal
20	8106	strict
20	8352	strict
21	642	equal
21	643	strict
21	645	strict
21	659	strict
21	662	strict
21	664	strict
21	688	strict
21	703	strict
21	4793	strict
21	4885	strict
21	4887	strict
21	4888	strict
21	4889	strict
21	4893	strict
21	5526	strict
21	6614	strict
22	643	equal
22	4793	strict
22	4893	strict
23	648	equal
23	4874	strict
24	649	equal
24	651	strict
24	4866	strict
24	4868	strict
24	4870	strict
24	4874	strict
25	650	equal
25	4874	strict
26	652	equal
27	654	equal
28	655	equal
29	657	equal
29	4893	strict
30	658	equal
31	659	equal
32	660	equal
33	662	equal
33	664	strict
33	4885	strict
33	4887	strict
33	4889	strict
33	4893	strict
34	663	equal
34	4893	strict
35	665	equal
35	674	strict
35	680	strict
35	681	strict
35	684	strict
35	691	strict
35	694	strict
35	696	strict
35	6945	strict
35	8102	strict
35	8313	strict
35	8317	strict
35	8320	strict
35	8325	strict
35	8326	strict
35	8336	strict
35	8343	strict
36	666	equal
36	667	strict
36	668	strict
36	670	strict
36	671	strict
36	675	strict
36	693	strict
36	705	strict
36	6946	strict
36	8107	strict
36	8314	strict
36	8316	strict
36	8324	strict
36	8327	strict
36	8328	strict
36	8332	strict
36	8352	strict
37	667	equal
37	675	strict
38	668	equal
39	669	equal
40	670	equal
41	671	equal
41	705	strict
41	8316	strict
41	8324	strict
41	8332	strict
41	8352	strict
42	672	equal
42	708	strict
43	674	equal
44	675	equal
45	676	equal
45	678	strict
46	678	equal
47	679	equal
47	8343	strict
48	680	equal
48	684	strict
48	8317	strict
48	8320	strict
48	8336	strict
48	8343	strict
49	681	equal
49	8343	strict
50	682	equal
50	6613	strict
51	685	equal
52	686	equal
53	687	equal
54	688	equal
55	691	equal
56	692	equal
56	8352	strict
57	693	equal
57	8352	strict
58	694	equal
58	696	strict
59	696	equal
60	698	equal
60	707	strict
61	700	equal
61	702	strict
62	702	equal
63	703	equal
63	6614	strict
64	706	equal
65	707	equal
66	708	equal
67	723	equal
67	724	strict
67	730	strict
67	4774	strict
67	4775	strict
67	6141	strict
67	6943	strict
67	8112	strict
67	8134	strict
67	8136	strict
67	8198	strict
67	8353	strict
67	8355	strict
67	8356	strict
67	8357	strict
67	8367	strict
68	724	equal
68	8112	strict
68	8367	strict
69	726	equal
69	727	strict
69	729	strict
69	4798	strict
69	4802	strict
69	4804	strict
69	4825	strict
69	4900	strict
69	4902	strict
69	4903	strict
69	4904	strict
69	4908	strict
69	5514	strict
69	6612	strict
69	7425	strict
69	7428	strict
70	727	equal
70	4798	strict
70	4908	strict
71	740	equal
71	776	strict
71	777	strict
71	1985	strict
71	1986	strict
71	12560	strict
72	755	equal
72	756	strict
72	757	strict
72	761	strict
72	762	strict
72	1085	strict
72	1441	strict
72	1443	strict
72	6977	strict
72	7105	strict
72	7107	strict
72	7108	strict
72	7109	strict
72	7113	strict
72	8485	strict
73	756	equal
73	757	strict
73	762	strict
73	6977	strict
73	7113	strict
74	758	equal
74	760	strict
74	762	strict
74	892	strict
74	894	strict
74	8541	strict
75	762	equal
76	766	equal
76	767	strict
76	769	strict
76	775	strict
76	777	strict
76	2013	strict
76	2015	strict
76	2018	strict
76	4810	strict
76	4814	strict
76	4816	strict
76	4817	strict
76	4818	strict
76	4822	strict
76	10913	strict
77	767	equal
77	775	strict
77	777	strict
77	4810	strict
77	4822	strict
78	777	equal
79	817	equal
79	818	strict
79	819	strict
79	823	strict
79	824	strict
79	1088	strict
79	1451	strict
79	1453	strict
79	7135	strict
79	8119	strict
79	8538	strict
79	8540	strict
79	8543	strict
79	8544	strict
79	8550	strict
80	818	equal
80	819	strict
80	824	strict
80	8119	strict
80	8550	strict
81	820	equal
81	822	strict
81	824	strict
81	893	strict
81	896	strict
81	6615	strict
82	824	equal
83	832	equal
83	833	strict
83	1276	strict
83	2333	strict
83	6963	strict
83	6967	strict
83	8503	strict
83	15258	strict
83	15262	strict
83	15343	strict
83	16100	strict
83	16334	strict
83	16335	strict
83	16345	strict
83	16346	strict
83	16349	strict
84	833	equal
84	16100	strict
84	16349	strict
85	834	equal
85	835	strict
85	1277	strict
85	2335	strict
85	6964	strict
85	6965	strict
85	8504	strict
85	15260	strict
85	15263	strict
85	15331	strict
85	15345	strict
85	15346	strict
85	15360	strict
85	15361	strict
85	15364	strict
85	16328	strict
86	835	equal
86	15331	strict
86	15364	strict
87	836	equal
87	837	strict
87	1282	strict
87	2300	strict
87	2343	strict
87	2440	strict
87	2685	strict
87	2768	strict
87	2769	strict
87	2774	strict
87	2775	strict
87	2778	strict
87	6611	strict
87	7426	strict
87	8510	strict
87	10927	strict
88	837	equal
88	2685	strict
88	2778	strict
89	838	equal
89	839	strict
89	1287	strict
89	2302	strict
89	2344	strict
89	2347	strict
89	2402	strict
89	2443	strict
89	2500	strict
89	2503	strict
89	2505	strict
89	2507	strict
89	6612	strict
89	7427	strict
89	7429	strict
89	10929	strict
90	839	equal
90	2500	strict
90	2507	strict
91	840	equal
