source_index	target_index	relation
0	5526	equal
0	5528	strict
0	6004	strict
0	6006	strict
0	20934	strict
0	20936	strict
0	20938	strict
0	20942	strict
1	5527	equal
1	20942	strict
2	5581	equal
2	5596	strict
2	6226	strict
2	6234	strict
2	79707	strict
2	79715	strict
2	79723	strict
2	79739	strict
3	5594	equal
3	79739	strict
4	5931	equal
4	5933	strict
4	6082	strict
4	6084	strict
4	21063	strict
4	21065	strict
4	21067	strict
4	21071	strict
5	5932	equal
5	21071	strict
6	5957	equal
7	5958	equal
8	5982	equal
9	5983	equal
10	6004	equal
10	6006	strict
10	20934	strict
10	20936	strict
10	20938	strict
10	20942	strict
11	6005	equal
11	20942	strict
12	6011	equal
12	6028	strict
12	6030	strict
12	20949	strict
12	20951	strict
12	20963	strict
12	20965	strict
12	20967	strict
12	20971	strict
13	6024	equal
13	20971	strict
14	6028	equal
14	6030	strict
14	20963	strict
14	20965	strict
14	20967	strict
14	20971	strict
15	6029	equal
15	20971	strict
16	6043	equal
16	6094	strict
16	6096	strict
16	20996	strict
16	20998	strict
16	21074	strict
16	21076	strict
16	21078	strict
16	21082	strict
17	6049	equal
18	6068	equal
18	21082	strict
19	6070	equal
20	6082	equal
20	6084	strict
20	21063	strict
20	21065	strict
20	21067	strict
20	21071	strict
21	6083	equal
21	21071	strict
22	6094	equal
22	6096	strict
22	21074	strict
22	21076	strict
22	21078	strict
22	21082	strict
23	6095	equal
23	21082	strict
24	6103	equal
24	6137	strict
24	6505	strict
24	6519	strict
24	127082	strict
24	127092	strict
24	127164	strict
24	127186	strict
25	6125	equal
25	127186	strict
26	6164	equal
26	6248	strict
26	6250	strict
26	79681	strict
26	79683	strict
26	79756	strict
26	79758	strict
26	79760	strict
26	79764	strict
27	6166	equal
27	6344	strict
27	6346	strict
27	79684	strict
27	79686	strict
27	79840	strict
27	79842	strict
27	79844	strict
27	79848	strict
28	6203	equal
28	6205	strict
28	6338	strict
28	6340	strict
28	79830	strict
28	79832	strict
28	79834	strict
28	79838	strict
29	6204	equal
29	79838	strict
30	6226	equal
30	6234	strict
30	79707	strict
30	79715	strict
30	79723	strict
30	79739	strict
31	6233	equal
31	79739	strict
32	6244	equal
32	79764	strict
33	6248	equal
33	6250	strict
33	79756	strict
33	79758	strict
33	79760	strict
33	79764	strict
34	6249	equal
34	79764	strict
35	6252	equal
36	6301	equal
37	6308	equal
38	6318	equal
39	6319	equal
40	6333	equal
40	79848	strict
41	6335	equal
42	6338	equal
42	6340	strict
42	79830	strict
42	79832	strict
42	79834	strict
42	79838	strict
43	6339	equal
43	79838	strict
44	6344	equal
44	6346	strict
44	79840	strict
44	79842	strict
44	79844	strict
44	79848	strict
45	6345	equal
45	79848	strict
46	6365	equal
46	6399	strict
46	6589	strict
46	6662	strict
46	127102	strict
46	127118	strict
46	127207	strict
46	127244	strict
47	6387	equal
47	127244	strict
48	6452	equal
48	6528	strict
48	6535	strict
48	127072	strict
48	127093	strict
48	127098	strict
48	127141	strict
48	127188	strict
48	127199	strict
49	6453	equal
49	6590	strict
49	6669	strict
49	127073	strict
49	127103	strict
49	127123	strict
49	127143	strict
49	127209	strict
49	127255	strict
50	6501	equal
51	6505	equal
51	6519	strict
51	127082	strict
51	127092	strict
51	127164	strict
51	127186	strict
52	6516	equal
52	127186	strict
53	6528	equal
53	6535	strict
53	127093	strict
53	127098	strict
53	127188	strict
53	127199	strict
54	6531	equal
54	127199	strict
55	6532	equal
55	127199	strict
56	6541	equal
57	6553	equal
58	6564	equal
59	6571	equal
60	6589	equal
60	6662	strict
60	127102	strict
60	127118	strict
60	127207	strict
60	127244	strict
61	6590	equal
61	6669	strict
61	127103	strict
61	127123	strict
61	127209	strict
61	127255	strict
62	6655	equal
63	6659	equal
63	127244	strict
64	6665	equal
64	127255	strict
65	6666	equal
65	127255	strict
66	7009	equal
66	7011	strict
66	78973	strict
66	78975	strict
66	79185	strict
66	79187	strict
66	79189	strict
66	79193	strict
67	7010	equal
67	79193	strict
68	7018	equal
68	7052	strict
68	117598	strict
68	117606	strict
68	120332	strict
68	120334	strict
68	120350	strict
68	120358	strict
69	7040	equal
69	120358	strict
70	7284	equal
70	7286	strict
70	78988	strict
70	78990	strict
70	80049	strict
70	80051	strict
70	80053	strict
70	80057	strict
71	7285	equal
71	80057	strict
72	7293	equal
72	7327	strict
72	117613	strict
72	117621	strict
72	127420	strict
72	127428	strict
72	127436	strict
72	127464	strict
73	7315	equal
73	127464	strict
74	7417	equal
74	7419	strict
74	13406	strict
74	13408	strict
74	21192	strict
74	21194	strict
74	21196	strict
74	21200	strict
75	7418	equal
75	21200	strict
76	7526	equal
76	7541	strict
76	37977	strict
76	37985	strict
76	79069	strict
76	79077	strict
76	79085	strict
76	79101	strict
77	7539	equal
77	79101	strict
78	7970	equal
78	7972	strict
78	21221	strict
78	21223	strict
78	21309	strict
78	21311	strict
78	21313	strict
78	21317	strict
79	7971	equal
79	21317	strict
80	7979	equal
80	8013	strict
80	25867	strict
80	25875	strict
80	112793	strict
80	112801	strict
80	112809	strict
80	112825	strict
81	8001	equal
81	112825	strict
82	8327	equal
82	8329	strict
82	21388	strict
82	21390	strict
82	21682	strict
82	21684	strict
82	21686	strict
82	21690	strict
83	8328	equal
83	21690	strict
84	8336	equal
84	8370	strict
84	25913	strict
84	25921	strict
84	128610	strict
84	128618	strict
84	128630	strict
84	128651	strict
85	8358	equal
85	128651	strict
86	8647	equal
86	11394	strict
86	188960	strict
86	188964	strict
86	189848	strict
86	189864	strict
86	189865	strict
86	189868	strict
87	8648	equal
87	189868	strict
88	8649	equal
88	11395	strict
88	188962	strict
88	188965	strict
88	189098	strict
88	189114	strict
88	189115	strict
88	189118	strict
89	8650	equal
89	189118	strict
90	8653	equal
90	11398	strict
90	42167	strict
90	42229	strict
90	48542	strict
90	48559	strict
90	48560	strict
90	48563	strict
91	8654	equal
91	48563	strict
92	8657	equal
92	11401	strict
92	42171	strict
92	42232	strict
92	43291	strict
92	43923	strict
92	43925	strict
92	43927	strict
93	8658	equal
93	43927	strict
94	8661	equal
94	11406	strict
94	14116	strict
94	14178	strict
94	151075	strict
94	151092	strict
94	151093	strict
94	151096	strict
95	8662	equal
95	151096	strict
96	8665	equal
96	11409	strict
96	14120	strict
96	14181	strict
96	43435	strict
96	44122	strict
96	44124	strict
96	44126	strict
97	8666	equal
97	44126	strict
98	8953	equal
98	8955	strict
98	9053	strict
98	9055	strict
98	24058	strict
98	24059	strict
98	24064	strict
98	24066	strict
99	8954	equal
99	24066	strict
100	8989	equal
100	8991	strict
100	9124	strict
100	9126	strict
100	24181	strict
100	24182	strict
100	24187	strict
100	24189	strict
101	8990	equal
101	24189	strict
102	9011	equal
103	9012	equal
104	9032	equal
105	9033	equal
106	9053	equal
106	9055	strict
106	24058	strict
106	24059	strict
106	24064	strict
106	24066	strict
107	9054	equal
107	24066	strict
108	9060	equal
108	9077	strict
108	9079	strict
108	24073	strict
108	24074	strict
108	24085	strict
108	24086	strict
108	24091	strict
108	24093	strict
109	9073	equal
109	24093	strict
110	9077	equal
110	9079	strict
110	24085	strict
110	24086	strict
110	24091	strict
110	24093	strict
111	9078	equal
111	24093	strict
112	9090	equal
112	9133	strict
112	9135	strict
112	24118	strict
112	24119	strict
112	24190	strict
112	24191	strict
112	24196	strict
112	24198	strict
113	9093	equal
114	9112	equal
114	24198	strict
115	9114	equal
116	9124	equal
116	9126	strict
116	24181	strict
116	24182	strict
116	24187	strict
116	24189	strict
117	9125	equal
117	24189	strict
118	9133	equal
118	9135	strict
118	24190	strict
118	24191	strict
118	24196	strict
118	24198	strict
119	9134	equal
119	24198	strict
120	9210	equal
120	9225	strict
120	9295	strict
120	9303	strict
120	88227	strict
120	88228	strict
120	88254	strict
120	88256	strict
121	9223	equal
121	88256	strict
122	9249	equal
122	9317	strict
122	9319	strict
122	88203	strict
122	88204	strict
122	88272	strict
122	88273	strict
122	88278	strict
122	88280	strict
123	9251	equal
123	9403	strict
123	9405	strict
123	88206	strict
123	88207	strict
123	88350	strict
123	88351	strict
123	88356	strict
123	88358	strict
124	9277	equal
124	9279	strict
124	9397	strict
124	9399	strict
124	88341	strict
124	88342	strict
124	88347	strict
124	88349	strict
125	9278	equal
125	88349	strict
126	9295	equal
126	9303	strict
126	88227	strict
126	88228	strict
126	88254	strict
126	88256	strict
127	9302	equal
127	88256	strict
128	9313	equal
128	88280	strict
129	9317	equal
129	9319	strict
129	88272	strict
129	88273	strict
129	88278	strict
129	88280	strict
130	9318	equal
130	88280	strict
131	9321	equal
132	9360	equal
133	9367	equal
134	9377	equal
135	9378	equal
136	9392	equal
136	88358	strict
137	9394	equal
138	9397	equal
138	9399	strict
138	88341	strict
138	88342	strict
138	88347	strict
138	88349	strict
139	9398	equal
139	88349	strict
140	9403	equal
140	9405	strict
140	88350	strict
140	88351	strict
140	88356	strict
140	88358	strict
141	9404	equal
141	88358	strict
142	10072	equal
142	10087	strict
142	10157	strict
142	10169	strict
142	110519	strict
142	110520	strict
142	110554	strict
142	110556	strict
143	10085	equal
143	110556	strict
144	10100	equal
144	10115	strict
144	10224	strict
144	10249	strict
144	110582	strict
144	110583	strict
144	110631	strict
144	110633	strict
145	10113	equal
145	110633	strict
146	10146	equal
146	10177	strict
146	10183	strict
146	110487	strict
146	110489	strict
146	110557	strict
146	110558	strict
146	110573	strict
146	110575	strict
147	10147	equal
147	10225	strict
147	10255	strict
147	110488	strict
147	110490	strict
147	110584	strict
147	110585	strict
147	110648	strict
147	110650	strict
148	10153	equal
149	10157	equal
149	10169	strict
149	110519	strict
149	110520	strict
149	110554	strict
149	110556	strict
150	10167	equal
150	110556	strict
151	10177	equal
151	10183	strict
151	110557	strict
151	110558	strict
151	110573	strict
151	110575	strict
152	10180	equal
152	110575	strict
153	10181	equal
153	110575	strict
154	10189	equal
155	10200	equal
156	10210	equal
157	10216	equal
158	10224	equal
158	10249	strict
158	110582	strict
158	110583	strict
158	110631	strict
158	110633	strict
159	10225	equal
159	10255	strict
159	110584	strict
159	110585	strict
159	110648	strict
159	110650	strict
160	10243	equal
161	10247	equal
161	110633	strict
162	10252	equal
162	110650	strict
163	10253	equal
163	110650	strict
164	10751	equal
164	10753	strict
164	13776	strict
164	13778	strict
164	30691	strict
164	30692	strict
164	30697	strict
164	30699	strict
165	10752	equal
165	30699	strict
166	10810	equal
166	10825	strict
166	38343	strict
166	38351	strict
166	145466	strict
166	145467	strict
166	145493	strict
166	145495	strict
167	10823	equal
167	145495	strict
168	11943	equal
168	11945	strict
168	110887	strict
168	110889	strict
168	110895	strict
168	110896	strict
168	110905	strict
168	110907	strict
169	11944	equal
169	11946	strict
169	110888	strict
169	110890	strict
169	110908	strict
169	110909	strict
169	110920	strict
169	110922	strict
170	11947	equal
170	110907	strict
171	11948	equal
171	110922	strict
172	11956	equal
172	11957	strict
172	117664	strict
172	117665	strict
172	120625	strict
172	120626	strict
172	120631	strict
172	120633	strict
173	11958	equal
173	120633	strict
174	11966	equal
174	11967	strict
174	117674	strict
174	117675	strict
174	128098	strict
174	128099	strict
174	128110	strict
174	128112	strict
175	11968	equal
175	128112	strict
176	11976	equal
176	11977	strict
176	25902	strict
176	25903	strict
176	113005	strict
176	113006	strict
176	113011	strict
176	113013	strict
177	11978	equal
177	113013	strict
178	11986	equal
178	11987	strict
178	25948	strict
178	25949	strict
178	128779	strict
178	128780	strict
178	128791	strict
178	128793	strict
179	11988	equal
179	128793	strict
180	12249	equal
180	31163	strict
180	31168	strict
180	147510	strict
180	147514	strict
180	189660	strict
180	189668	strict
180	189669	strict
180	189672	strict
181	12250	equal
181	14110	strict
181	14173	strict
181	147512	strict
181	147515	strict
181	150919	strict
181	150936	strict
181	150937	strict
181	150940	strict
182	12251	equal
182	31165	strict
182	31171	strict
182	42392	strict
182	42458	strict
182	48274	strict
182	48334	strict
182	48336	strict
182	48338	strict
183	12252	equal
183	14112	strict
183	14176	strict
183	42394	strict
183	42459	strict
183	43407	strict
183	44063	strict
183	44065	strict
183	44067	strict
184	13269	equal
184	13271	strict
184	21083	strict
184	21085	strict
184	21095	strict
184	21097	strict
184	21099	strict
184	21103	strict
185	13270	equal
185	21103	strict
186	13272	equal
186	13274	strict
186	21104	strict
186	21106	strict
186	21122	strict
186	21124	strict
186	21126	strict
186	21130	strict
187	13273	equal
187	21130	strict
188	13303	equal
188	13305	strict
188	13508	strict
188	13510	strict
188	21594	strict
188	21596	strict
188	21598	strict
188	21602	strict
189	13304	equal
189	21602	strict
190	13345	equal
191	13346	equal
192	13376	equal
193	13377	equal
194	13406	equal
194	13408	strict
194	21192	strict
194	21194	strict
194	21196	strict
194	21200	strict
195	13407	equal
195	21200	strict
196	13415	equal
196	13442	strict
196	13444	strict
196	21224	strict
196	21226	strict
196	21318	strict
196	21320	strict
196	21322	strict
196	21326	strict
197	13438	equal
197	21326	strict
198	13442	equal
198	13444	strict
198	21318	strict
198	21320	strict
198	21322	strict
198	21326	strict
199	13443	equal
199	21326	strict
200	13459	equal
200	13528	strict
200	13530	strict
200	21391	strict
200	21393	strict
200	21701	strict
200	21703	strict
200	21705	strict
200	21709	strict
201	13469	equal
202	13494	equal
202	21709	strict
203	13496	equal
204	13508	equal
204	13510	strict
204	21594	strict
204	21596	strict
204	21598	strict
204	21602	strict
205	13509	equal
205	21602	strict
206	13528	equal
206	13530	strict
206	21701	strict
206	21703	strict
206	21705	strict
206	21709	strict
207	13529	equal
207	21709	strict
208	13543	equal
208	13609	strict
208	34713	strict
208	34736	strict
208	71054	strict
208	71064	strict
208	71118	strict
208	71173	strict
209	13544	equal
209	13612	strict
209	34714	strict
209	34739	strict
209	164489	strict
209	164499	strict
209	166072	strict
209	166128	strict
210	13587	equal
210	71173	strict
211	13588	equal
211	166128	strict
212	13625	equal
212	13659	strict
212	39435	strict
212	39449	strict
212	98450	strict
212	98502	strict
212	101064	strict
212	101102	strict
213	13647	equal
213	101102	strict
214	13703	equal
214	13705	strict
214	13854	strict
214	13856	strict
214	30941	strict
214	30942	strict
214	30947	strict
214	30949	strict
215	13704	equal
215	30949	strict
216	13729	equal
217	13730	equal
218	13754	equal
219	13755	equal
220	13776	equal
220	13778	strict
220	30691	strict
220	30692	strict
220	30697	strict
220	30699	strict
221	13777	equal
221	30699	strict
222	13783	equal
222	13800	strict
222	13802	strict
222	30709	strict
222	30710	strict
222	30725	strict
222	30726	strict
222	30731	strict
222	30733	strict
223	13796	equal
223	30733	strict
224	13800	equal
224	13802	strict
224	30725	strict
224	30726	strict
224	30731	strict
224	30733	strict
225	13801	equal
225	30733	strict
226	13815	equal
226	13866	strict
226	13868	strict
226	30788	strict
226	30789	strict
226	30976	strict
226	30977	strict
226	30982	strict
226	30984	strict
227	13821	equal
228	13840	equal
228	30984	strict
229	13842	equal
230	13854	equal
230	13856	strict
230	30941	strict
230	30942	strict
230	30947	strict
230	30949	strict
231	13855	equal
231	30949	strict
232	13866	equal
232	13868	strict
232	30976	strict
232	30977	strict
232	30982	strict
232	30984	strict
233	13867	equal
233	30984	strict
234	13875	equal
234	13909	strict
234	39728	strict
234	39742	strict
234	69252	strict
234	69253	strict
234	69338	strict
