'SymmetricSector.coefficientK_good_action' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.coefficientK_bad_action' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.featureCoeffA_coefficientK' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.featureCoeffB_coefficientK' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coeffA_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coeffB_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coeffA_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coeffB_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.K0_coefficientFeature' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coefficientFeature_source' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coefficientSolution_equation' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.Active.coefficientFeature_poisson' depends on axioms: [propext, Classical.choice, Quot.sound]
