rank,id,problem_number,title,category,ev,ev_low,ev_high,impact,p_solve,p_valid_open,assessment,local_status,upstream_status,eligible,present,holds,reasons,source_url
1,30004033,OWR-16763-006,Fractional Coloring of Subcubic Triangle-Free Planar Graphs,Graph Theory,0.096,0.0144,0.36,6,0.02,0.8,desk_review,unreviewed,partially_solved,True,True,,computable_objects; individual_desk_review,https://doi.org/10.4171/owr/2019/1
2,30000162,OWR-782-003,Recognition and Eutaxy Testing of Bacher Matrices,Computer Science,0.091,0.0126,0.357,4,0.035,0.65,desk_review,unreviewed,open,True,True,,computable_objects; construction_or_counterexample; algorithmic_target; individual_desk_review,https://doi.org/10.4171/owr/2005/01
3,30005440,OWR-12697693-011,Multiplicative p-Groups of Braces,Group Theory,0.075,0.01,0.3,5,0.025,0.6,desk_review,unreviewed,open,True,True,,construction_or_counterexample; individual_desk_review,https://doi.org/10.4171/owr/2023/9
4,20000172,AIM-ALGEBRAIC_GEOMETRY-0172,Genuine versus normed equivariant elliptic cohomology and a cyclic Frobenius constraint,Algebraic Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/equideralggeom/5/
5,20000177,AIM-ALGEBRAIC_GEOMETRY-0177,Tame normalization and two-axis integrality for level TMF,Algebraic Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/equideralggeom/5/
6,20000213,AIM-ALGEBRAIC_GEOMETRY-0213,Formal velocities and obstructions for time-varying epipolar matrices,Algebraic Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/algvision/6/
7,20000451,AIM-ALGEBRAIC_NUMBER_THEORY-0103,Rational descent obstructions for geometric elliptic powers in hyperelliptic Jacobians,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/qptsurface2/qptsurface2.pdf
8,20000542,AIM-ANALYSIS-0074,Trace-norm matrix signing: positive case solved with sharp exponent,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://docs.google.com/document/d/1XRw0WyG5PshqboCp99tovCRD1GCK0jXZiNLH_nw618c/edit
9,20000557,AIM-ANALYSIS-0089,Induced ell-p paving endpoints and simultaneous all-p conference paving,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://docs.google.com/document/d/1XRw0WyG5PshqboCp99tovCRD1GCK0jXZiNLH_nw618c/edit
10,20000620,AIM-ANALYSIS-0152,Index tests and quantitative boundary-root pushing for zero-free Mergelyan approximation,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/hyperbolicpoly/9/
11,20000872,AIM-BIOLOGY-0037,Exact counting with prescribed phylogenetic splits,Miscellaneous,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/geombio/geombio.pdf
12,20000878,AIM-COMBINATORICS-0003,The Renyi-Shannon bottleneck in entropic inverse arguments,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/highdimdiscrete/1/
