coordinate,monomial,k0_1,k1_0,k0_4,k4_0,k0_6,k6_0,k1_7,k7_1,k2_4,k4_2,k2_7,k7_2,k2_9,k9_2,k3_4,k4_3,k5_9,k9_5,k8_9,k9_8
F1,1,0,0,0,0,1,0,-1,0,0,0,31/49,0,93/49,0,0,0,0,0,0,0
F1,x,0,0,0,0,0,0,1,16/7,0,0,-43/7,16/7,-129/7,0,0,0,-2,0,0,0
F1,y,0,0,0,0,0,0,1,0,0,0,-45/49,0,-135/49,0,0,0,0,0,0,0
F1,x2,0,0,0,0,0,0,0,-16/7,0,0,256/49,-16/7,768/49,0,0,0,2,0,0,0
F1,xy,0,0,0,0,0,-1,0,-9/7,0,0,176/49,-9/7,528/49,0,0,0,2,0,0,0
F1,x3,0,0,0,0,0,0,0,1,0,0,-16/7,1,-48/7,-3,0,0,0,-2,0,-1
F1,x2y,0,0,0,0,0,0,0,-9/7,0,0,144/49,-9/7,432/49,0,0,0,0,0,1,0
F2,1,0,0,3,768/49,1,0,-1,0,93/49,768/49,31/49,0,0,0,-32/7,512/49,0,0,0,0
F2,x,0,0,0,-96/7,0,0,1,16/7,-129/7,-96/7,-43/7,16/7,0,0,32/7,-64/7,0,0,0,0
F2,y,0,0,0,-432/49,0,0,1,0,-135/49,-432/49,-45/49,0,0,0,18/7,-288/49,0,0,0,0
F2,x2,0,0,0,240/49,0,0,0,-16/7,768/49,240/49,256/49,-16/7,0,0,-2,160/49,0,0,0,0
F2,xy,0,0,0,-528/49,0,-1,0,-9/7,528/49,-528/49,176/49,-9/7,0,0,18/7,-352/49,0,0,0,0
F2,x3,0,0,0,6/7,0,0,0,1,-48/7,6/7,-16/7,1,0,0,0,4/7,0,0,0,1
F2,x2y,0,0,0,135/49,0,0,0,-9/7,432/49,135/49,144/49,-9/7,0,0,0,90/49,0,0,-1,0
F3,1,1,1,0,0,0,0,0,0,-93/49,-768/49,-62/49,0,-93/49,0,16/7,-256/49,0,0,0,0
F3,x,0,-1,0,0,0,0,0,0,129/7,96/7,86/7,-32/7,129/7,0,-16/7,32/7,1,0,0,0
F3,y,0,-1,0,0,0,0,0,0,135/49,432/49,90/49,0,135/49,0,-9/7,144/49,0,0,0,0
F3,x2,0,0,0,0,0,0,0,0,-768/49,-240/49,-512/49,32/7,-768/49,0,1,-80/49,-1,0,0,0
F3,xy,0,0,0,0,0,0,0,0,-528/49,528/49,-352/49,18/7,-528/49,0,-9/7,176/49,-1,0,0,0
F3,x3,0,0,0,0,0,0,0,0,48/7,-6/7,32/7,-2,48/7,3,0,-2/7,0,1,0,0
F3,x2y,0,0,0,0,0,0,0,0,-432/49,-135/49,-288/49,18/7,-432/49,0,0,-45/49,0,0,0,0
